NAME	RAJD	DECJD	F0	DIST
B0148-06	27.8446579	-6.5841631	0.682750190448	25
J0152+0948	28.0989	9.8028	0.364080238329	2.477
B0149-16	28.0452246	-16.6315669	1.2008526831899	0.92
J0154+1833	28.65367804	18.564099	422.90991368608	1.622
J0156+04	29	4.03	*	25
B0153+39	29.2302	39.8246	0.55201023568	4.916
B0154+61	29.4580975	62.2074022	0.425216180759	1.786
J0158+21	29.62	21.13	1.979022	1.569
J0201+7005	30.42227	70.088364	0.741188488948	1.172
J0205+6449	31.4080103	64.8281484	15.21701089718	3.2
B0203-40	31.50539	-40.467672	1.585913888562	1.26
J0209+5759	32.40543	57.99592	0.93993241362	1.743
J0210+5845	32.7308	58.7511	0.5661846985	1.952
J0211-8159	32.9958	-81.99339	0.9282183663	1.523
J0212+5222	33.21724	52.380417	2.65684439046	1.558
J0214+5222	33.730297	52.37804	40.6912718043	1.161
J0215+6218	33.98595	62.30927	1.821892452777	2.004
J0218+4232	34.526494038	42.53815976	430.461054545748	3.15
J0220+3626	35.1755	36.44881	0.971157	2.24
J0229+20	37.26	20.97	1.239311	2.089
B0226+70	37.80832	70.44275	0.681746765985	1.755
J0241+16	40.44	16.07	0.647082	0.936
J0242+62	40.646	62.947	1.689189	0.217
J0243+6027	40.75	60.45	0.678887	2.717
J0244+14	41.21	14.45	0.469903	2.796
J0248+4230	42.129179	42.505692	384.49193525267	1.853
J0248+6021	42.077571	60.359644	4.6063	2
J0250+5854	42.57408	58.90036	0.04248922536	1.558
J0251+2606	42.76064	26.102769	393.46001048594	1.17
B0254-53	43.984552	-53.072576	2.233596324088	1.514
J0301+35	45.2	35	6.8	3.1
J0302+2252	45.633292	22.87003	0.8283872815447	1.014
B0301+19	46.13798	19.5476	0.7206768587625	0.739
J0305+11	46.27	11.38	1.159958	1.838
J0307+7443	46.97917	74.72	316.455696	0.386
J0312-0921	48.02583	-9.36556	269.978402	0.817
J0317+13	49.48	13.48	0.506509	0.366
J0318+0253	49.564754	2.883744	192.68371552268	1.328
B0320+39	50.8610913	39.7478897	0.3298074763345	0.952
J0324+5239	51.23108	52.65869	2.97070677878	2.29
J0325+6744	51.27133	67.74983	0.732773180015	1.929
J0329+1654	52.28563	16.9006	1.1194201180723	2.557
B0329+54	53.24754	54.5787025	1.39954153872	1.695
B0331+45	53.81934	45.9315144	3.7147027882896	2.439
J0335+6623	53.9878	66.3899	0.56755806947	1.907
J0337+1715	54.4326079	17.2541189	365.953363096	1.3
J0337+79	54.3	79	0.486332	1.053
J0340+4130	55.09703317	41.51258087	303.09097941132	1.603
J0341+5711	55.25	57.18333	0.529661	2.037
J0343+06	55.8	6	1	3.774
J0343-3000	55.86642	-30.00764	0.385055657642	1.594
B0339+53	55.80379	53.21484	0.516935299969	1.705
J0344-0901	56.156129	-9.01741	0.815656977709	1.507
J0348+0432	57.181829167	4.53651611	25.5606361937675	2.1
J0349+2340	57.48908	23.6814	0.413091535405	3.746
J0355+28	58.8	28	10.6	1.789
J0357-05	59.5	-5.2	*	25
J0357+3205	59.4688	32.0903	2.251722292	0.835
B0353+52	59.4368346	52.6159703	5.075366707885	3.571
J0358+4155	59.513228	41.921954	4.415316459453	1.481
B0355+54	59.7238492	54.2204956	6.3945110925	1
J0358+6627	59.658038	66.462937	10.92827132616	1.884
