Emin [GeV],Emax [GeV],Aeff [m^2],Ebias [GeV],|dE| [GeV],dPsi [deg],TrackFraction
1,1.58,1.84e-09,-0.646,0.446,41.1,0.1
1.58,2.51,7.49e-09,-0.756,0.642,44.8,0.0286
2.51,3.98,3.26e-08,-1.21,0.853,25.4,0.14
3.98,6.31,1.25e-07,-2.33,1.33,29.7,0.107
6.31,10,3.01e-07,-3.8,1.73,24.9,0.13
10,15.8,8.57e-07,-6.1,3.12,23.4,0.139
15.8,25.1,1.75e-06,-11.4,4.79,21.6,0.222
25.1,39.8,2.83e-06,-17.3,6.89,16.3,0.302
39.8,63.1,5.85e-06,-28.8,10.9,16,0.359
63.1,100,1.17e-05,-51.5,19.5,11.1,0.261
