Emin [GeV],Emax [GeV],Aeff [m^2],Ebias [GeV],|dE| [GeV],dPsi [deg],TrackFraction
1,1.58,1.46e-09,-0.456,0.495,42.4,0.0541
1.58,2.51,9.16e-09,-1.01,0.695,30.1,0.127
2.51,3.98,3.78e-08,-1.3,0.879,30,0.0989
3.98,6.31,1.25e-07,-2.2,1.2,30.8,0.0973
6.31,10,3.54e-07,-3.76,1.71,25.9,0.123
10,15.8,8.28e-07,-6.38,2.95,23.1,0.169
15.8,25.1,1.73e-06,-10.9,4.54,19.3,0.226
25.1,39.8,3.34e-06,-18.9,7.55,16.9,0.245
39.8,63.1,5.63e-06,-30.4,10,14.5,0.308
63.1,100,9.56e-06,-50.8,17.8,11.9,0.291
