Emin [GeV],Emax [GeV],Aeff [m^2],Ebias [GeV],|dE| [GeV],dPsi [deg],TrackFraction
1,1.58,,,,,
1.58,2.51,,,,,
2.51,3.98,,,,,
3.98,6.31,1.13e-07,-2.25,1.03,26.2,0.107
6.31,10,5.27e-07,-3.3,1.42,23.4,0.155
10,15.8,1.41e-06,-5.27,2.08,21.4,0.177
15.8,25.1,3.59e-06,-8.36,2.61,17.5,0.213
25.1,39.8,7.25e-06,-12.3,4.38,14.3,0.318
39.8,63.1,1.23e-05,-20,7.05,10.7,0.26
63.1,100,2.27e-05,-28.8,10.4,8.92,0.294
