nura, nudec, angerr
37.369, 56.626, 1.51
13.172, 36.055, 0.71
18.573, 45.092, 1.59
19.504, 70.818, 0.78
33.956, 46.305, 2.05
12.555, 47.004, 0.55
43.407, 48.087, 1.1
347.236, 58.831, 1.61
9.184, 35.28, 0.65
4.166, 49.079, 1.1
34.128, 72.21, 0.36
26.33, 39.287, 1.98
36.24, 40.922, 0.33
28.071, 52.919, 0.56
22.933, 46.283, 0.91
43.099, 62.635, 0.52
31.333, 69.208, 0.85
41.089, 62.418, 0.58
44.365, 55.07, 0.47
19.733, 43.579, 0.87
3.672, 66.93, 1.63
9.474, 51.089, 1.34
27.412, 44.99, 1.45
28.632, 60.636, 0.44
6.389, 58.094, 0.65
27.183, 58.934, 0.73
349.352, 50.944, 0.53
44.216, 50.479, 1.04
39.378, 49.611, 1.26
29.643, 37.722, 0.61
15.763, 35.23, 0.64
354.761, 53.706, 0.49
36.257, 59.593, 1.94
359.847, 70.77, 1.65
9.968, 34.778, 0.73
23.727, 63.194, 1.05
39.907, 59.304, 0.58
347.93, 45.864, 0.47
26.37, 38.415, 1.85
26.1, 43.623, 0.81
25.3, 51.033, 0.49
21.173, 48.476, 2.35
20.434, 68.381, 1.12
33.028, 42.489, 1.17
0.127, 50.631, 0.34
15.271, 47.576, 0.45
350.163, 47.085, 0.57
342.632, 56.28, 0.53
41.09, 42.91, 1.25
355.16, 66.855, 0.22
350.643, 49.659, 0.49
4.917, 44.137, 0.68
33.066, 53.766, 0.6
42.141, 56.199, 1.09
359.634, 50.145, 1.49
4.886, 53.919, 1.04
30.638, 44.391, 0.52
35.566, 71.357, 0.54
350.054, 67.266, 1.13
11.885, 40.299, 0.89
0.726, 39.542, 0.62
9.351, 59.141, 0.83
41.29, 53.476, 1.8
353.276, 69.811, 0.36
11.239, 72.44, 1.0
23.023, 70.41, 1.2
28.052, 43.534, 0.35
43.831, 66.559, 2.14
0.835, 52.475, 0.53
40.664, 57.799, 0.59
350.742, 45.115, 0.57
16.52, 59.816, 1.17
49.656, 58.104, 1.04
42.847, 69.456, 0.98
30.838, 45.032, 0.81
24.828, 63.198, 1.02
346.922, 46.553, 0.63
1.762, 38.248, 0.88
359.885, 55.512, 0.66
21.693, 59.623, 0.29
1.985, 57.796, 1.08
26.376, 36.452, 1.81
49.602, 64.748, 0.92
42.86, 64.062, 0.64
18.713, 41.512, 0.68
25.409, 67.539, 0.98
4.249, 39.083, 0.34
11.052, 54.114, 0.61
25.481, 35.204, 0.91
356.902, 45.862, 0.91
36.989, 56.93, 0.69
38.938, 63.368, 0.43
45.769, 57.104, 0.57
42.946, 61.568, 1.24
7.081, 67.111, 1.24
11.735, 50.475, 1.9
43.64, 56.603, 0.51
3.012, 36.478, 0.53
22.134, 45.275, 1.95
5.06, 44.318, 1.04
3.32, 66.617, 0.5
351.898, 63.443, 0.48
23.564, 50.24, 0.5
25.244, 45.209, 1.33
359.196, 51.952, 0.67
3.298, 54.705, 0.66
341.356, 57.293, 0.6
49.231, 56.439, 0.74
12.079, 45.186, 0.75
355.175, 44.619, 1.53
358.307, 62.454, 0.25
37.9, 43.448, 0.69
353.358, 53.802, 0.58
9.352, 50.767, 1.78
4.976, 35.94, 0.77
24.846, 56.355, 0.46
3.58, 45.259, 0.46
354.656, 52.922, 0.3
9.654, 38.309, 2.46
14.089, 60.715, 2.22
16.477, 59.598, 0.88
39.265, 43.702, 2.21
22.051, 41.803, 1.42
38.863, 67.399, 0.48
34.445, 56.747, 0.46
352.868, 51.847, 0.94
20.505, 35.851, 0.56
42.232, 52.759, 0.69
353.465, 49.616, 0.7
17.695, 42.84, 0.98
17.225, 48.631, 0.73
3.254, 37.974, 1.81
11.991, 58.906, 0.92
354.715, 48.018, 0.68
19.082, 45.373, 1.08
14.685, 54.091, 1.12
14.118, 54.176, 1.98
4.744, 36.055, 1.86
17.188, 62.368, 0.76
16.864, 37.578, 0.45
16.628, 60.906, 0.67
30.408, 61.257, 1.07
14.556, 44.721, 1.02
37.925, 50.836, 1.01
351.506, 54.906, 0.7
355.913, 53.89, 0.6
19.725, 55.807, 0.56
351.252, 63.264, 0.56
32.051, 62.599, 0.55
7.767, 50.861, 0.39
48.477, 61.144, 1.02
47.932, 65.215, 1.06
355.421, 60.259, 0.81
29.212, 56.971, 1.84
4.482, 48.09, 1.46
4.808, 45.776, 0.42
10.0, 46.359, 0.78
6.132, 50.943, 1.74
23.377, 57.8, 1.01
18.299, 41.938, 0.44
14.608, 61.298, 1.21
36.297, 42.944, 0.78
350.898, 52.896, 0.74
31.796, 42.853, 1.2
9.455, 44.245, 0.57
16.211, 49.522, 0.94
21.306, 56.766, 1.57
358.794, 46.283, 1.58
36.194, 61.632, 0.74
18.843, 43.641, 1.33
6.353, 65.693, 0.86
1.732, 50.38, 1.74
5.772, 65.631, 0.27
44.226, 47.904, 0.39
35.881, 45.649, 0.88
2.028, 49.357, 0.52
347.801, 68.803, 0.93
346.016, 49.658, 1.07
46.282, 58.31, 0.63
0.516, 44.835, 1.63
9.857, 48.832, 0.75
350.332, 57.166, 0.64
38.799, 46.936, 0.82
11.896, 63.538, 1.13
45.189, 46.592, 0.76
8.766, 58.709, 0.85
40.648, 43.127, 0.56
3.99, 68.871, 0.87
22.684, 52.759, 0.99
1.956, 42.295, 1.0
31.047, 64.007, 0.71
17.933, 53.87, 1.18
20.717, 38.908, 0.48
30.027, 59.227, 0.99
21.649, 51.512, 0.79
48.662, 64.249, 1.0
22.052, 53.23, 0.8
47.052, 60.255, 2.24
23.459, 39.886, 1.84
14.79, 46.752, 1.02
28.945, 67.019, 1.06
36.898, 46.214, 0.99
14.085, 58.726, 0.36
23.341, 39.524, 0.63
34.996, 42.67, 0.56
48.593, 61.079, 1.06
7.117, 48.095, 0.6
358.793, 56.287, 0.88
5.76, 45.009, 0.46
26.134, 61.888, 0.78
30.687, 55.767, 0.57
38.137, 61.383, 1.41
34.331, 61.007, 0.55
359.463, 61.95, 0.78
4.209, 49.118, 0.8
2.709, 45.242, 0.87
13.188, 52.997, 1.11
25.263, 69.732, 0.66
4.2, 39.774, 0.92
0.697, 58.648, 0.6
11.431, 52.757, 1.56
13.508, 71.609, 1.55
29.056, 48.548, 0.82
41.431, 43.718, 1.49
2.405, 41.507, 1.46
17.544, 64.398, 0.67
35.619, 53.219, 0.58
22.694, 69.481, 0.43
343.253, 64.442, 0.6
347.176, 63.214, 0.73
352.793, 44.46, 1.14
30.471, 68.103, 0.59
343.409, 63.56, 0.77
8.724, 40.763, 1.18
357.196, 53.995, 0.49
349.394, 54.983, 0.43
44.805, 60.791, 0.74
12.955, 44.874, 1.11
25.871, 37.259, 1.64
354.62, 59.419, 0.6
345.962, 56.407, 1.86
4.173, 51.735, 0.6
359.009, 40.635, 0.42
8.565, 45.734, 0.8
20.431, 35.213, 1.05
5.831, 47.622, 0.86
35.942, 53.268, 0.59
359.858, 56.135, 0.43
15.411, 45.471, 0.6
25.424, 44.975, 2.17
34.416, 60.833, 0.44
355.305, 41.618, 1.1
31.279, 44.995, 0.63
4.186, 44.012, 0.46
23.008, 58.974, 0.46
43.484, 51.556, 0.64
357.615, 53.605, 1.01
34.822, 55.549, 2.23
16.032, 69.346, 0.81
33.604, 56.985, 1.62
49.344, 55.173, 0.94
8.619, 64.011, 1.11
28.053, 36.914, 1.75
347.13, 49.139, 1.11
17.817, 49.109, 0.6
45.883, 64.082, 0.44
9.527, 59.782, 0.68
3.341, 39.848, 1.1
2.076, 55.32, 1.66
7.628, 40.082, 0.75
43.844, 57.908, 2.51
19.74, 43.242, 0.63
49.676, 55.728, 0.67
23.217, 37.434, 0.88
355.927, 63.718, 0.65
48.57, 63.84, 1.51
15.548, 49.137, 2.1
6.077, 35.641, 1.25
36.484, 60.668, 1.27
40.53, 43.992, 1.46
357.56, 43.665, 1.97
3.706, 36.773, 0.68
34.973, 45.159, 1.14
27.455, 47.577, 0.62
5.317, 52.836, 0.66
21.997, 42.907, 0.92
34.591, 46.545, 0.6
33.589, 38.708, 2.11
359.382, 63.991, 0.8
2.351, 66.048, 0.4
348.591, 59.381, 1.22
16.724, 39.627, 0.41
22.961, 65.027, 1.22
41.045, 61.8, 0.6
0.24, 41.038, 1.13
5.637, 42.581, 0.46
356.196, 53.241, 0.58
343.139, 51.295, 0.92
43.394, 54.634, 0.57
18.551, 46.923, 0.4
26.373, 57.018, 0.71
17.887, 61.012, 0.38
40.437, 58.482, 0.62
35.963, 47.118, 0.54
9.992, 65.934, 0.57
30.375, 62.47, 0.91
21.38, 46.152, 0.97
40.765, 49.894, 1.61
14.876, 45.035, 0.79
36.488, 56.85, 0.89
3.396, 42.654, 0.69
43.068, 62.595, 0.57
32.714, 45.936, 1.01
10.709, 50.76, 1.08
47.368, 65.757, 0.47
21.607, 56.024, 0.45
4.967, 39.965, 0.78
36.913, 44.264, 1.17
359.668, 58.57, 0.37
15.19, 35.711, 0.48
14.986, 72.813, 2.58
31.485, 55.02, 2.28
25.905, 56.671, 0.45
358.89, 54.785, 0.74
9.632, 44.871, 1.06
8.814, 68.35, 0.64
359.509, 53.001, 0.65
350.613, 48.078, 0.79
2.838, 41.38, 0.26
35.87, 46.878, 0.6
349.544, 62.429, 0.9
29.623, 63.597, 0.6
8.171, 62.143, 1.28
353.78, 57.822, 0.62
344.736, 60.022, 0.69
33.123, 66.895, 0.4
353.465, 60.839, 0.57
20.457, 47.923, 1.49
25.662, 66.755, 0.6
49.421, 57.046, 0.6
33.943, 69.928, 0.98
26.803, 61.031, 0.85
18.408, 41.498, 0.95
20.695, 55.206, 1.1
15.273, 43.39, 0.65
40.522, 49.743, 0.42
344.431, 51.98, 1.38
12.603, 54.809, 0.74
41.592, 65.12, 2.06
25.618, 36.732, 2.29
14.535, 67.517, 0.75
347.343, 66.299, 0.99
43.669, 50.546, 0.5
352.124, 64.618, 0.76
42.976, 45.963, 0.72
5.544, 41.936, 0.69
28.907, 36.668, 0.59
3.745, 52.634, 1.04
45.479, 58.514, 0.23
345.839, 60.738, 0.66
32.039, 56.577, 0.57
43.846, 59.877, 0.36
17.249, 42.398, 0.79
347.339, 53.947, 1.09
8.46, 73.42, 0.53
26.588, 61.685, 0.63
26.132, 69.972, 2.16
354.311, 49.463, 1.69
22.563, 63.675, 0.39
47.235, 63.792, 0.35
12.767, 67.074, 1.17
33.892, 45.167, 0.46
20.464, 72.967, 1.01
6.493, 57.579, 0.92
359.692, 58.005, 0.71
35.657, 48.985, 1.34
39.679, 59.674, 0.61
15.077, 65.256, 0.25
348.591, 47.668, 0.37
39.475, 51.518, 0.58
8.263, 64.266, 0.33
24.799, 61.03, 0.32
3.019, 56.847, 1.5
353.008, 41.507, 0.73
346.295, 46.995, 0.94
11.001, 58.92, 0.6
