nura, nudec, angerr
84.882, 26.695, 0.41
94.936, 54.621, 1.57
108.32, 23.929, 1.2
71.471, 35.179, 0.51
117.779, 41.682, 0.66
80.097, 40.753, 0.35
108.357, 25.389, 0.93
88.747, 21.291, 1.41
88.584, 37.677, 0.41
87.627, 29.481, 0.62
111.989, 31.253, 0.46
107.623, 42.14, 0.78
89.614, 20.197, 0.73
98.974, 21.234, 0.93
107.931, 54.17, 0.38
115.504, 33.86, 0.67
98.819, 31.851, 1.79
86.989, 37.715, 0.84
94.044, 29.056, 1.59
104.26, 26.084, 0.66
97.535, 35.113, 0.67
82.129, 38.609, 0.66
68.945, 42.028, 1.24
102.972, 26.579, 0.87
88.116, 30.506, 0.41
103.506, 19.78, 0.76
84.106, 28.692, 0.51
84.74, 20.762, 0.58
89.513, 48.315, 0.92
103.202, 45.854, 1.62
93.654, 36.402, 0.95
96.306, 21.917, 0.92
90.057, 39.727, 2.4
106.217, 28.634, 1.77
79.467, 38.305, 0.64
113.856, 34.063, 1.05
73.625, 28.226, 0.71
103.745, 39.726, 1.75
109.068, 23.746, 0.59
114.746, 49.608, 0.95
95.317, 50.102, 0.98
111.223, 33.413, 0.51
109.566, 27.969, 0.71
113.735, 27.838, 0.94
103.965, 28.062, 0.94
94.683, 45.706, 0.74
94.024, 39.116, 0.78
88.692, 36.761, 0.61
91.173, 31.007, 0.59
87.306, 46.159, 0.36
100.524, 22.533, 1.15
99.13, 34.44, 0.54
98.472, 56.978, 0.7
108.031, 50.4, 0.78
111.756, 25.669, 0.62
80.711, 42.135, 0.74
97.913, 47.167, 1.92
92.244, 29.53, 0.93
99.819, 35.548, 0.84
81.842, 43.718, 1.01
117.17, 40.845, 1.06
85.267, 33.466, 1.23
100.131, 35.473, 1.91
84.513, 45.554, 0.53
111.381, 31.793, 0.56
78.887, 33.688, 0.42
104.699, 40.408, 0.37
104.342, 50.507, 2.43
77.449, 39.166, 0.69
96.969, 40.164, 0.99
98.299, 29.878, 0.64
109.268, 32.266, 1.37
91.191, 21.913, 0.55
75.555, 25.058, 0.46
106.237, 44.991, 0.74
72.793, 47.037, 0.35
95.205, 20.582, 1.22
100.484, 48.414, 1.48
85.408, 43.033, 1.15
88.666, 25.304, 0.98
84.5, 33.957, 1.11
113.606, 35.655, 0.83
112.198, 36.268, 0.69
114.899, 40.11, 2.33
96.537, 27.084, 0.67
86.774, 21.387, 0.49
95.051, 29.192, 1.07
90.925, 30.987, 0.56
110.04, 25.906, 1.42
71.268, 47.504, 0.45
99.891, 46.911, 1.19
102.099, 35.218, 0.67
69.476, 37.195, 1.05
80.608, 26.259, 0.96
93.373, 24.245, 1.97
103.219, 53.079, 1.26
115.445, 44.005, 0.2
118.046, 38.163, 0.96
84.076, 26.714, 0.46
115.068, 40.19, 0.45
87.544, 30.295, 0.56
104.837, 26.854, 1.56
77.847, 36.378, 1.1
70.604, 37.403, 0.6
81.062, 32.708, 0.59
96.878, 26.304, 0.65
89.125, 18.882, 0.51
112.563, 44.3, 1.49
89.851, 21.603, 1.02
81.241, 43.204, 0.76
92.476, 26.094, 0.47
71.084, 33.691, 1.99
101.371, 32.371, 0.53
94.602, 49.06, 2.01
98.942, 44.597, 0.99
101.262, 20.992, 1.08
77.316, 43.618, 0.29
