nura, nudec, angerr
255.277, 40.364, 1.89
244.161, 39.255, 0.94
273.337, 63.783, 0.8
221.659, 45.557, 0.44
241.176, 70.389, 1.18
259.147, 65.137, 0.8
208.243, 55.958, 1.17
246.419, 69.158, 1.52
242.464, 45.537, 0.98
211.137, 49.656, 0.82
251.01, 58.058, 0.99
227.53, 57.278, 1.34
211.967, 65.106, 0.5
258.601, 48.488, 0.41
248.086, 73.976, 2.03
257.213, 64.476, 0.48
268.822, 52.091, 0.58
231.081, 70.43, 0.76
250.161, 56.855, 0.99
261.11, 59.788, 0.41
244.072, 49.087, 1.49
263.078, 61.214, 1.12
271.408, 64.346, 0.71
234.888, 36.819, 0.6
247.667, 67.971, 0.75
220.08, 64.713, 0.36
252.496, 73.309, 1.51
224.648, 39.353, 0.65
213.212, 44.841, 1.04
234.632, 43.459, 0.5
266.794, 52.841, 0.4
265.087, 45.93, 0.54
216.07, 55.561, 1.91
235.16, 47.669, 1.08
234.712, 63.819, 0.91
210.481, 64.857, 0.97
230.985, 52.531, 0.82
209.398, 60.902, 1.32
229.333, 56.952, 0.51
248.016, 54.488, 0.37
244.001, 42.327, 1.04
249.607, 64.229, 0.44
227.281, 57.585, 0.98
244.898, 55.248, 1.52
249.093, 61.636, 0.43
263.185, 46.337, 1.33
264.963, 51.724, 1.03
252.155, 52.009, 1.05
225.488, 57.705, 0.35
242.074, 38.984, 0.91
218.143, 53.771, 0.74
231.189, 35.297, 1.79
216.941, 65.866, 0.6
242.656, 43.928, 0.32
252.327, 57.885, 0.78
252.094, 62.202, 1.1
218.323, 60.182, 0.79
254.04, 39.748, 0.66
258.675, 40.77, 0.62
264.061, 58.35, 0.41
263.292, 46.33, 0.49
234.827, 55.575, 0.71
266.397, 59.56, 0.74
248.729, 73.132, 0.84
208.634, 60.172, 1.31
268.697, 54.875, 0.66
247.069, 59.861, 0.48
226.429, 48.113, 1.35
240.294, 49.361, 0.72
268.675, 56.948, 1.15
229.251, 51.589, 0.89
213.531, 64.279, 0.77
229.35, 39.879, 1.42
216.266, 45.92, 0.85
226.065, 48.822, 0.63
264.621, 55.288, 0.76
266.331, 63.173, 2.02
225.236, 47.701, 0.46
260.019, 51.092, 0.44
223.439, 71.59, 0.51
247.967, 66.943, 0.76
262.263, 49.149, 0.85
234.66, 63.59, 0.5
233.882, 60.619, 0.82
262.616, 69.926, 1.68
235.766, 45.004, 1.38
262.963, 45.477, 1.14
215.575, 65.378, 2.13
217.022, 48.004, 0.57
222.149, 47.905, 1.62
215.287, 53.733, 0.71
231.073, 47.502, 0.64
252.789, 65.482, 0.6
216.964, 53.147, 1.02
211.665, 65.439, 0.86
236.985, 60.661, 1.13
240.459, 71.471, 1.34
202.911, 61.31, 0.27
253.754, 47.621, 0.83
243.262, 37.368, 0.61
225.211, 49.495, 0.89
222.645, 62.711, 0.39
262.634, 45.443, 1.41
242.273, 46.595, 0.66
217.162, 50.439, 1.36
225.465, 65.398, 1.54
243.406, 59.921, 1.55
231.732, 58.219, 0.9
231.883, 58.119, 0.65
245.198, 49.575, 0.86
256.327, 56.954, 0.7
266.738, 47.498, 1.0
264.276, 62.043, 0.44
259.77, 68.876, 1.44
203.263, 60.397, 0.57
221.388, 41.347, 0.44
260.255, 66.666, 0.66
230.064, 41.993, 0.32
229.244, 40.016, 0.78
259.324, 41.237, 0.27
219.536, 52.451, 1.56
217.411, 43.51, 0.67
256.742, 46.712, 1.14
242.706, 37.472, 0.86
270.205, 52.392, 1.76
218.102, 67.054, 0.72
257.02, 39.907, 1.13
249.152, 53.437, 0.74
253.885, 37.755, 0.71
249.537, 39.406, 1.01
220.698, 39.565, 0.37
259.008, 45.489, 1.31
227.861, 52.7, 0.6
256.49, 52.414, 0.32
234.215, 48.33, 0.65
228.973, 53.355, 0.62
256.692, 43.088, 1.16
243.317, 36.002, 0.46
221.858, 55.635, 1.03
241.495, 47.01, 0.63
230.719, 54.236, 1.41
207.519, 50.825, 0.94
261.332, 45.944, 0.91
241.485, 61.114, 0.47
254.067, 63.365, 0.55
270.259, 54.594, 1.33
231.962, 67.292, 0.64
246.027, 44.996, 0.82
215.282, 67.29, 0.58
250.485, 41.229, 0.73
238.821, 35.83, 1.62
