nura, nudec, angerr
262.551, -42.079, 0.42
248.336, -63.868, 1.0
301.347, -69.508, 0.41
298.38, -69.448, 0.57
246.284, -43.33, 0.2
217.232, -76.044, 0.49
254.278, -44.372, 0.26
246.997, -56.235, 1.15
257.156, -60.554, 1.25
260.037, -47.477, 1.18
259.0, -55.554, 0.64
224.502, -57.111, 0.99
300.902, -68.285, 0.54
290.658, -65.386, 0.37
263.817, -46.338, 0.94
280.248, -58.013, 0.47
266.026, -46.167, 0.64
266.507, -57.462, 0.49
222.037, -62.33, 0.21
253.808, -44.993, 0.62
263.978, -56.494, 1.06
245.352, -44.74, 0.77
276.437, -70.135, 0.91
272.675, -59.942, 0.35
273.931, -62.482, 1.04
287.035, -51.075, 0.41
238.684, -53.69, 0.4
233.179, -67.092, 0.93
264.48, -50.709, 0.88
284.198, -54.029, 0.67
258.293, -43.809, 0.55
234.955, -54.68, 0.23
239.672, -80.311, 0.45
273.141, -79.633, 0.57
247.97, -72.852, 0.6
257.995, -55.277, 0.35
278.276, -68.784, 0.42
236.252, -61.013, 0.61
235.918, -54.551, 0.49
276.986, -49.334, 0.91
267.126, -66.923, 0.84
270.296, -66.742, 0.29
234.171, -62.508, 0.98
214.581, -65.347, 0.46
279.91, -59.094, 0.94
261.755, -73.349, 0.24
250.218, -48.84, 0.81
261.583, -50.241, 0.6
257.538, -50.337, 0.45
218.235, -62.835, 0.32
279.226, -57.679, 0.54
247.764, -47.813, 0.68
275.411, -56.065, 1.07
257.875, -60.407, 1.17
254.838, -76.097, 0.96
277.148, -49.171, 0.74
246.457, -63.863, 0.46
278.475, -47.013, 0.27
227.527, -50.342, 1.05
276.184, -45.777, 0.9
263.235, -63.36, 0.66
236.439, -72.116, 0.22
287.35, -53.707, 0.33
281.855, -47.696, 0.55
245.019, -46.602, 0.22
283.428, -67.555, 0.67
240.13, -75.63, 0.42
235.719, -69.03, 0.73
253.507, -57.666, 0.75
232.43, -62.664, 0.27
234.204, -65.701, 0.32
284.359, -53.786, 0.32
222.566, -61.318, 0.62
261.959, -65.003, 1.05
268.465, -48.622, 0.24
294.479, -61.119, 0.4
277.025, -63.043, 0.45
265.029, -55.888, 0.23
284.842, -56.862, 0.3
279.854, -48.219, 0.93
216.411, -62.343, 0.31
273.316, -57.611, 0.59
233.514, -67.688, 0.29
263.18, -51.031, 0.77
266.957, -47.822, 0.41
275.445, -63.299, 0.2
230.788, -52.966, 0.3
297.556, -65.217, 0.92
261.142, -48.919, 1.03
237.36, -66.907, 0.21
290.077, -71.801, 0.32
275.527, -58.746, 1.13
241.344, -53.446, 0.31
256.447, -57.375, 0.42
255.049, -71.407, 0.43
252.26, -66.762, 0.25
260.33, -49.333, 0.78
280.064, -55.245, 0.36
233.99, -49.409, 0.75
236.291, -57.935, 1.21
268.353, -59.133, 1.17
278.056, -48.574, 0.58
284.644, -65.496, 0.66
229.905, -63.435, 1.23
236.364, -64.851, 0.63
270.819, -59.577, 0.29
245.519, -50.397, 0.21
274.86, -67.487, 1.21
242.149, -62.017, 0.55
238.814, -48.846, 0.61
235.434, -54.793, 1.21
245.47, -44.063, 0.28
237.768, -57.064, 0.26
240.148, -50.005, 0.72
236.876, -66.085, 0.24
297.582, -65.611, 1.04
268.324, -55.895, 0.51
277.048, -56.583, 0.67
248.811, -71.196, 0.58
229.674, -55.905, 0.92
224.913, -52.009, 0.26
238.337, -57.765, 0.66
290.14, -56.201, 0.35
236.527, -47.51, 0.54
268.368, -47.716, 0.68
254.489, -55.145, 1.09
270.099, -43.271, 0.73
260.944, -71.117, 0.25
243.326, -45.176, 0.5
292.619, -69.949, 0.22
237.774, -65.17, 0.25
226.391, -68.391, 0.43
260.932, -71.248, 0.33
252.313, -51.344, 0.39
239.658, -49.955, 0.69
280.797, -70.663, 0.28
255.915, -52.388, 0.65
270.102, -73.509, 0.59
257.515, -51.868, 1.26
237.028, -57.367, 0.67
287.866, -55.578, 1.24
237.307, -78.71, 1.22
228.206, -55.627, 0.39
244.366, -73.475, 0.26
216.439, -69.826, 0.23
284.899, -54.158, 0.31
237.451, -48.73, 0.45
294.34, -62.59, 1.18
255.046, -49.635, 0.7
282.084, -65.88, 0.44
266.489, -76.598, 0.89
295.787, -69.09, 0.28
257.621, -65.73, 0.37
260.394, -51.462, 0.49
261.528, -44.148, 0.98
250.568, -66.692, 0.4
270.73, -48.901, 0.4
227.756, -65.595, 0.4
254.218, -67.862, 0.33
242.411, -43.351, 0.45
264.75, -56.043, 1.11
244.818, -61.7, 1.09
232.782, -68.823, 0.28
272.401, -47.411, 0.62
258.228, -55.678, 0.48
264.306, -48.882, 0.98
272.463, -57.32, 0.31
264.022, -54.535, 0.2
215.115, -63.419, 0.31
274.0, -66.41, 0.95
250.211, -73.803, 0.89
226.515, -57.825, 1.22
256.226, -73.767, 0.65
281.675, -75.168, 0.31
249.277, -60.502, 0.64
229.053, -75.195, 0.39
245.992, -42.558, 1.14
248.417, -57.344, 0.34
239.845, -52.43, 0.93
285.416, -56.03, 0.33
267.242, -46.842, 0.24
252.181, -60.238, 1.06
241.885, -55.621, 0.32
275.751, -45.141, 0.48
267.587, -52.009, 0.44
233.155, -74.549, 0.76
270.852, -60.687, 0.34
254.645, -53.613, 0.85
273.583, -56.253, 0.24
280.475, -53.313, 0.39
238.361, -59.405, 0.48
262.939, -68.098, 0.28
283.42, -61.785, 0.22
261.789, -44.167, 0.62
225.059, -66.105, 1.25
213.443, -67.441, 0.48
281.955, -70.803, 0.29
252.319, -68.858, 1.19
261.642, -46.785, 0.41
244.011, -45.444, 0.97
251.154, -47.872, 0.26
276.302, -55.26, 1.0
277.148, -74.02, 0.33
251.919, -46.567, 0.41
241.854, -52.542, 0.5
272.929, -50.858, 0.43
239.034, -68.417, 0.72
242.411, -44.957, 0.35
241.554, -48.833, 0.42
229.724, -51.026, 0.3
254.629, -78.43, 0.95
280.524, -50.959, 1.08
280.423, -68.393, 1.25
216.421, -61.281, 0.46
273.101, -70.54, 0.23
258.499, -48.728, 0.39
265.852, -75.826, 0.95
285.582, -58.881, 0.33
282.791, -74.295, 1.05
226.809, -58.985, 0.56
272.955, -72.513, 0.93
243.521, -48.256, 0.32
267.808, -61.291, 0.45
241.324, -62.873, 1.08
241.619, -71.164, 0.65
281.451, -59.447, 0.91
282.656, -75.014, 0.27
253.581, -43.813, 1.09
248.552, -69.791, 0.32
278.699, -54.887, 0.86
232.563, -60.331, 0.7
217.576, -62.564, 0.91
293.94, -59.876, 0.32
229.731, -49.043, 0.98
268.648, -74.983, 0.33
235.504, -59.296, 0.52
230.743, -49.878, 0.49
248.572, -41.894, 0.48
289.287, -70.017, 0.52
282.463, -56.286, 0.55
292.635, -62.602, 1.2
227.722, -63.821, 0.44
257.684, -49.802, 1.0
283.054, -62.166, 0.9
283.592, -63.253, 0.41
259.105, -63.924, 0.3
279.75, -48.447, 0.7
239.304, -67.023, 0.25
248.407, -68.666, 0.95
254.626, -70.44, 0.41
250.827, -44.544, 0.53
294.186, -60.713, 1.19
243.483, -73.53, 0.51
235.615, -64.192, 0.3
227.342, -69.409, 0.86
275.829, -52.892, 0.81
267.594, -45.179, 0.66
280.281, -57.651, 1.17
267.595, -60.063, 0.49
258.122, -56.569, 1.1
227.76, -52.645, 0.31
267.224, -44.85, 0.7
274.053, -60.119, 0.44
219.477, -75.774, 0.46
274.446, -58.271, 1.07
266.417, -50.774, 0.42
251.462, -67.172, 1.27
236.245, -68.357, 1.16
246.223, -67.949, 0.92
294.533, -67.341, 0.52
297.398, -65.386, 0.42
277.748, -73.547, 0.54
255.061, -58.214, 0.33
234.115, -52.165, 0.28
275.296, -51.313, 0.23
247.444, -63.643, 0.45
268.531, -52.894, 0.58
285.74, -57.845, 0.51
265.777, -55.58, 0.88
293.684, -56.68, 0.51
234.378, -58.703, 1.13
238.432, -68.733, 0.46
291.894, -59.419, 0.62
247.835, -72.6, 0.32
252.677, -58.826, 0.5
260.688, -47.136, 0.35
251.089, -69.388, 0.79
246.701, -56.038, 0.26
247.494, -43.677, 0.22
235.843, -51.391, 1.06
218.212, -66.626, 0.87
278.49, -66.061, 0.85
290.118, -60.878, 0.32
269.559, -60.928, 0.34
279.995, -59.064, 0.22
228.078, -51.157, 0.84
284.199, -62.301, 0.6
244.968, -53.512, 0.59
222.39, -72.782, 0.76
259.193, -56.216, 0.27
285.885, -54.12, 0.29
276.092, -68.577, 1.15
286.496, -64.746, 1.2
277.038, -50.653, 1.1
292.105, -65.816, 0.54
294.24, -72.023, 0.95
211.721, -68.825, 1.21
223.355, -58.798, 0.47
271.143, -50.326, 1.05
241.94, -50.959, 0.84
237.632, -52.929, 0.23
257.722, -72.872, 0.35
282.726, -66.177, 0.89
215.748, -63.959, 0.38
274.336, -50.169, 0.27
239.128, -64.945, 0.46
274.33, -72.609, 0.25
256.294, -50.885, 0.3
230.558, -52.234, 0.58
237.91, -58.03, 0.68
294.402, -61.824, 0.46
255.863, -69.82, 0.71
249.578, -70.086, 0.51
292.466, -73.84, 0.53
258.583, -47.761, 1.16
283.021, -51.986, 0.4
231.09, -50.888, 0.57
295.017, -68.178, 0.4
286.675, -60.824, 0.66
278.186, -60.054, 0.37
215.391, -59.686, 0.6
228.742, -57.593, 0.35
258.341, -65.253, 0.65
241.09, -49.936, 0.2
237.956, -45.128, 0.23
274.234, -55.466, 0.53
291.205, -60.337, 0.37
246.876, -74.05, 0.45
244.739, -62.104, 0.31
244.605, -46.03, 0.52
271.902, -56.553, 0.82
230.468, -62.428, 0.44
255.901, -55.327, 0.7
249.871, -63.713, 0.37
293.734, -62.445, 0.96
296.599, -67.592, 0.77
269.296, -43.862, 0.48
246.889, -59.44, 0.37
258.808, -74.232, 1.15
242.909, -46.72, 0.77
289.17, -52.356, 0.26
285.996, -61.985, 0.47
258.903, -55.215, 0.27
254.823, -56.091, 1.06
221.861, -74.286, 0.51
237.991, -63.519, 0.74
237.402, -68.979, 0.3
226.51, -53.646, 0.24
245.938, -51.432, 0.58
282.921, -70.215, 0.32
221.073, -57.798, 0.7
261.016, -43.97, 1.06
252.872, -56.127, 0.37
270.064, -56.7, 0.39
264.254, -58.363, 0.53
257.694, -63.444, 0.33
260.119, -50.717, 0.92
290.946, -55.611, 0.4
295.227, -63.645, 1.01
238.926, -66.734, 0.43
263.428, -42.504, 0.61
261.062, -62.354, 0.62
294.881, -57.441, 0.76
282.086, -48.656, 1.02
294.646, -73.295, 0.39
232.484, -56.215, 0.32
254.616, -62.954, 0.36
223.254, -60.922, 0.33
295.772, -63.052, 0.28
253.077, -71.193, 0.33
265.515, -47.323, 0.73
220.196, -69.401, 0.28
