nura, nudec, angerr
164.956, 2.608, 0.37
178.932, 0.454, 0.78
144.973, 5.658, 1.58
167.641, -3.204, 0.98
145.08, -12.729, 0.48
148.32, 2.68, 0.89
172.616, -4.526, 0.8
158.427, -9.925, 0.41
171.657, -15.173, 1.18
152.734, 10.549, 1.09
170.894, 6.675, 1.02
168.653, 13.899, 0.41
172.601, 3.422, 0.85
142.394, -8.695, 1.14
150.62, -13.663, 1.23
145.279, 6.317, 0.74
168.247, 11.073, 0.54
149.35, -13.179, 0.5
159.059, -1.021, 0.84
170.054, -7.141, 0.91
165.373, 6.832, 1.14
169.989, -9.353, 1.23
140.998, 4.872, 0.35
174.537, -3.894, 0.42
177.317, -7.975, 0.6
165.726, 2.815, 1.41
165.114, -11.73, 0.49
159.068, -12.312, 0.74
156.976, -15.492, 0.95
157.19, -1.245, 0.51
170.574, -2.226, 0.68
172.382, 8.092, 0.73
151.121, -2.146, 0.56
140.672, -1.62, 0.45
150.478, -3.519, 0.74
145.536, 5.539, 2.38
148.608, -6.546, 0.93
173.296, -6.959, 0.35
159.074, -10.021, 0.54
150.561, 12.977, 0.78
169.504, -5.558, 0.48
162.313, -13.379, 0.76
163.772, -12.886, 0.27
154.914, -17.728, 0.85
145.698, -4.997, 0.99
152.604, 5.035, 0.96
163.548, -6.107, 0.53
172.965, 3.434, 0.81
156.7, -8.022, 1.13
162.709, -1.115, 0.97
141.923, 2.227, 1.02
157.634, 1.195, 0.62
144.907, -9.258, 0.87
150.442, -6.623, 0.93
168.656, -7.786, 1.14
145.05, -8.729, 0.31
170.796, 12.738, 1.14
173.704, -7.36, 0.89
144.426, -4.27, 0.72
162.277, -18.053, 0.67
163.963, 18.948, 1.7
153.488, -11.498, 0.66
168.068, -8.163, 0.85
156.143, 6.498, 1.74
162.674, 6.139, 1.26
173.86, -0.367, 0.66
156.18, -4.328, 0.62
164.455, 5.25, 0.92
177.812, -1.472, 0.78
151.134, -9.828, 0.39
150.113, 3.011, 1.56
151.285, -3.196, 1.18
159.559, 2.476, 1.42
