nura, nudec, angerr
343.547, 17.572, 1.79
7.242, 16.387, 0.88
329.392, 22.325, 0.81
6.196, 22.142, 0.69
346.333, 9.896, 0.7
8.348, 16.064, 0.91
334.825, 17.624, 0.95
342.746, 14.586, 1.63
352.227, 10.795, 1.15
352.007, 12.829, 2.04
349.543, 8.223, 0.76
351.533, 10.911, 1.81
335.373, 23.737, 1.03
343.852, 8.557, 1.28
352.024, 41.005, 1.3
344.432, 5.617, 0.44
346.354, 30.208, 0.93
356.193, 5.188, 0.3
342.835, 32.757, 1.04
343.144, 8.788, 1.38
343.884, 11.914, 0.45
4.213, 12.699, 0.75
330.381, 20.299, 0.71
359.237, 10.007, 0.25
355.072, 14.771, 0.91
341.6, 5.152, 0.91
335.702, 35.739, 0.46
342.211, 37.87, 1.24
7.94, 24.832, 1.02
355.062, 11.661, 0.76
352.955, 14.321, 2.23
351.323, 24.414, 1.04
333.297, 16.03, 0.98
335.496, 8.51, 0.37
349.35, 16.729, 1.03
342.536, 19.118, 0.97
348.252, 5.462, 1.98
333.848, 20.454, 1.03
3.34, 12.573, 0.78
359.581, 33.052, 0.9
334.957, 18.274, 0.51
9.936, 19.088, 1.27
336.629, 13.722, 0.38
346.376, 26.858, 2.05
336.263, 32.792, 2.33
358.316, 16.468, 1.02
335.224, 25.184, 0.94
354.841, 11.469, 0.82
330.637, 26.006, 0.92
3.239, 13.146, 0.66
0.949, 27.259, 0.72
331.308, 20.117, 0.36
350.191, 23.355, 1.35
344.52, 22.51, 1.22
1.846, 30.84, 0.89
342.32, 8.246, 1.28
2.192, 21.92, 0.67
359.379, 7.673, 2.31
356.428, 5.199, 1.38
332.872, 18.151, 0.51
352.553, 31.669, 1.18
350.564, 41.31, 0.51
356.699, 5.254, 0.78
338.867, 7.557, 0.98
7.188, 33.21, 1.13
2.044, 24.254, 0.46
330.314, 23.448, 1.19
341.831, 17.656, 0.54
344.13, 6.53, 0.55
354.595, 20.006, 0.45
336.544, 32.449, 0.58
6.3, 13.172, 0.76
2.292, 25.415, 0.68
333.043, 23.397, 1.13
342.687, 18.297, 1.47
6.606, 11.882, 1.23
2.364, 36.236, 1.0
349.415, 8.655, 0.75
342.85, 13.876, 0.61
3.3, 27.293, 1.67
357.279, 12.39, 1.23
357.258, 15.095, 0.33
1.602, 11.932, 0.7
0.749, 10.245, 0.83
339.298, 15.758, 0.95
359.534, 7.203, 0.74
349.272, 39.648, 0.66
341.033, 4.954, 1.34
356.231, 9.385, 0.45
346.33, 7.608, 2.27
336.301, 24.609, 1.64
356.92, 29.187, 0.65
1.762, 38.248, 0.88
339.736, 9.821, 0.76
345.518, 16.518, 0.64
340.676, 9.539, 0.63
348.092, 25.257, 0.64
350.725, 8.819, 0.48
345.885, 15.806, 0.42
338.827, 13.503, 1.82
359.706, 37.362, 0.74
355.151, 18.572, 1.06
0.896, 12.289, 0.46
353.269, 30.626, 0.54
352.763, 13.158, 1.66
341.015, 28.415, 0.58
329.913, 15.968, 0.69
352.697, 26.315, 1.38
350.348, 8.269, 0.8
359.17, 23.825, 0.83
340.546, 10.722, 0.83
355.355, 31.302, 0.89
2.923, 21.026, 0.36
336.77, 13.809, 1.22
342.889, 3.088, 0.2
344.755, 30.906, 2.01
347.968, 7.519, 0.62
350.477, 25.23, 0.95
335.802, 14.332, 0.6
330.088, 20.921, 0.39
3.012, 36.478, 0.53
346.833, 7.062, 0.72
357.959, 5.713, 1.09
356.261, 31.396, 1.01
334.587, 10.11, 1.75
352.008, 15.137, 0.81
3.612, 23.659, 0.4
347.118, 16.447, 0.78
354.617, 8.955, 0.62
333.65, 9.521, 1.61
329.683, 20.195, 1.21
4.976, 35.94, 0.77
335.567, 33.285, 0.57
348.905, 41.268, 0.24
8.475, 15.133, 0.88
340.905, 20.871, 1.31
352.442, 32.231, 0.38
351.667, 33.385, 0.42
355.281, 5.792, 0.56
349.605, 2.784, 2.08
359.558, 14.059, 1.89
332.241, 26.524, 0.92
341.511, 35.753, 0.5
334.785, 32.42, 0.66
344.481, 4.238, 0.8
349.879, 26.873, 1.6
333.984, 12.434, 0.89
336.467, 21.537, 1.12
355.384, 12.078, 1.24
9.781, 22.399, 2.24
353.446, 17.235, 0.32
343.701, 23.29, 1.22
339.59, 12.198, 0.68
7.603, 28.559, 1.46
338.279, 14.492, 0.65
350.291, 15.753, 1.04
336.47, 16.886, 0.98
359.671, 7.524, 0.56
340.615, 17.738, 0.55
4.744, 36.055, 1.86
357.114, 24.52, 0.31
356.837, 36.244, 0.73
355.486, 12.328, 1.53
3.052, 9.992, 0.31
354.009, 14.356, 1.29
339.932, 33.963, 2.3
357.186, 23.952, 0.67
4.452, 26.752, 0.9
334.462, 17.166, 0.4
349.593, 5.154, 1.04
338.15, 30.668, 1.05
341.701, 22.772, 1.6
353.482, 2.958, 0.68
349.342, 17.541, 0.69
342.61, 31.326, 1.66
3.991, 18.655, 1.77
353.53, 27.291, 0.41
359.234, 11.774, 0.24
355.718, 38.003, 1.37
331.391, 22.242, 0.64
344.519, 7.639, 0.8
346.418, 21.44, 0.77
357.203, 11.52, 0.31
349.037, 19.462, 0.81
349.779, 30.351, 0.58
1.023, 19.025, 0.66
2.881, 24.119, 2.2
356.894, 37.062, 0.8
337.297, 28.549, 0.81
337.806, 9.356, 1.02
338.084, 25.183, 1.41
350.57, 21.872, 0.83
358.558, 33.029, 0.45
350.424, 5.466, 1.16
339.191, 31.696, 1.56
346.362, 25.34, 1.54
354.264, 8.165, 0.46
347.693, 4.558, 0.34
336.326, 26.594, 0.58
346.014, 3.822, 0.62
350.129, 36.141, 0.66
344.753, 9.152, 1.2
352.519, 8.88, 0.73
349.67, 11.27, 0.55
359.85, 10.486, 0.68
0.475, 23.831, 0.77
345.993, 4.939, 0.88
9.333, 23.357, 0.77
334.679, 32.866, 0.72
3.35, 14.71, 0.7
336.834, 38.406, 2.3
3.688, 31.58, 1.33
345.513, 16.798, 1.13
345.31, 2.281, 1.21
347.87, 11.378, 0.64
348.025, 4.719, 0.86
350.838, 27.905, 0.46
356.467, 32.866, 0.39
347.028, 7.862, 0.77
6.816, 16.823, 0.37
334.208, 33.708, 0.82
337.116, 23.553, 0.43
357.605, 14.462, 0.86
335.19, 17.308, 0.98
358.143, 11.947, 0.67
334.349, 17.193, 0.66
354.265, 25.709, 1.5
3.591, 12.782, 0.31
338.205, 30.347, 0.67
358.292, 19.422, 0.39
331.556, 24.502, 0.8
2.187, 19.665, 0.79
357.46, 5.703, 0.37
0.399, 13.573, 1.13
337.059, 35.978, 1.42
353.837, 18.435, 1.44
353.279, 38.689, 0.88
355.07, 30.978, 0.66
2.37, 35.545, 1.5
330.155, 17.612, 0.99
356.831, 26.628, 1.46
330.891, 17.106, 1.53
357.107, 5.596, 1.04
356.263, 35.913, 1.45
348.48, 2.051, 0.87
330.117, 14.723, 0.91
345.023, 32.129, 0.39
359.605, 5.365, 0.44
