nura, nudec, angerr
236.494, 2.329, 0.36
238.525, 15.164, 1.07
238.372, 18.537, 0.63
232.392, 10.774, 1.45
234.89, 17.259, 1.05
248.939, 10.301, 1.71
229.9, 21.125, 0.68
242.718, 18.556, 0.6
237.238, 12.535, 0.36
223.953, 15.882, 0.59
238.192, 0.79, 0.74
230.594, 29.572, 0.76
238.644, 14.35, 0.71
239.06, 6.748, 0.73
250.134, 17.784, 0.65
251.646, 11.244, 2.18
245.577, 20.731, 2.04
237.03, 17.658, 0.71
239.738, 26.724, 0.84
257.871, 12.037, 0.64
236.868, 13.276, 0.46
258.718, 19.37, 1.96
218.048, 17.896, 0.91
247.869, 12.725, 1.62
227.051, 4.122, 0.67
224.123, 16.818, 1.21
219.416, 17.129, 1.31
223.21, 9.337, 1.86
242.647, 23.531, 0.35
225.434, 14.901, 1.59
254.342, 6.13, 0.74
231.08, 7.081, 0.3
242.422, 10.91, 0.42
234.888, 36.819, 0.6
232.318, 26.792, 1.26
224.89, 7.403, 1.57
256.785, 26.635, 1.36
235.643, 28.766, 0.91
226.655, 30.93, 0.53
217.914, 17.482, 0.52
239.653, 10.899, 0.4
244.397, 18.171, 1.08
220.746, 14.305, 0.46
247.188, 4.809, 0.86
230.927, 26.532, 0.93
227.816, 30.908, 0.94
223.988, 7.294, 1.17
251.703, 14.863, 1.13
256.145, 14.539, 0.49
229.043, 29.157, 0.56
238.07, 4.523, 0.85
232.251, 13.712, 0.63
230.953, 4.306, 0.99
240.996, -0.084, 1.33
224.016, 21.943, 0.33
254.063, 14.596, 0.44
245.878, 2.024, 1.6
224.92, 32.85, 0.8
245.109, 26.431, 0.45
249.85, 2.808, 0.81
218.677, 20.234, 0.75
233.765, 25.218, 0.96
231.464, 16.547, 1.1
247.251, 3.645, 0.7
258.904, 15.818, 1.1
248.782, 17.553, 1.01
241.873, 24.389, 1.33
248.169, 23.361, 1.28
228.431, 5.62, 0.62
225.918, 31.651, 0.98
231.189, 35.297, 1.79
235.6, 8.281, 1.38
248.318, 13.769, 0.67
229.739, 17.727, 1.31
232.762, 5.865, 1.49
219.883, 9.742, 0.51
229.407, 0.745, 1.65
237.295, 20.085, 0.9
242.711, 23.568, 0.62
237.611, -0.56, 1.12
247.807, 6.082, 0.99
232.663, 12.28, 0.46
247.617, 9.483, 0.51
249.246, 12.984, 0.43
231.888, 17.386, 1.5
246.408, 19.231, 0.92
249.956, 28.789, 1.01
255.083, 11.468, 2.15
227.166, 2.606, 0.51
