nura, nudec, angerr
97.501, 11.29, 0.56
97.162, 11.874, 0.38
84.882, 26.695, 0.41
112.321, 19.916, 1.17
93.55, 5.726, 1.35
108.32, 23.929, 1.2
101.417, 14.281, 2.5
82.995, 10.985, 0.94
108.357, 25.389, 0.93
88.747, 21.291, 1.41
80.234, 20.662, 1.11
85.796, 1.998, 0.85
87.627, 29.481, 0.62
107.196, 4.866, 0.79
79.39, 7.641, 0.48
89.614, 20.197, 0.73
99.221, 2.551, 0.5
98.974, 21.234, 0.93
85.816, 11.704, 1.4
85.185, 15.795, 0.87
98.819, 31.851, 1.79
80.96, 10.018, 1.24
94.044, 29.056, 1.59
104.26, 26.084, 0.66
84.759, 1.673, 0.66
97.535, 35.113, 0.67
102.972, 26.579, 0.87
115.017, 13.097, 0.71
88.116, 30.506, 0.41
103.506, 19.78, 0.76
108.909, 17.577, 2.22
84.106, 28.692, 0.51
84.74, 20.762, 0.58
101.716, 6.294, 0.8
90.819, -0.785, 0.26
115.065, 16.492, 0.59
96.451, -0.261, 0.84
96.306, 21.917, 0.92
111.973, 20.265, 0.93
81.467, 8.657, 0.4
106.266, 7.633, 0.66
92.626, 0.695, 0.43
106.217, 28.634, 1.77
104.71, 6.897, 1.51
113.723, 12.272, 1.04
100.605, 17.983, 0.46
111.384, 12.899, 0.48
109.068, 23.746, 0.59
113.703, 19.302, 0.9
104.733, 3.569, 0.56
104.547, 3.664, 0.59
103.407, 2.568, 0.84
109.566, 27.969, 0.71
98.185, 5.386, 0.49
113.735, 27.838, 0.94
103.965, 28.062, 0.94
101.199, 5.134, 0.85
103.001, 18.225, 0.33
109.443, 15.749, 0.78
113.623, 27.087, 1.13
99.483, 7.796, 0.74
111.336, 4.845, 0.55
93.59, 2.882, 0.99
91.173, 31.007, 0.59
110.643, 16.875, 0.93
100.524, 22.533, 1.15
99.13, 34.44, 0.54
113.579, 13.55, 0.44
113.978, 9.382, 1.17
80.579, 18.704, 0.47
111.756, 25.669, 0.62
105.542, 11.911, 0.44
88.323, 14.373, 0.51
113.976, 9.087, 0.83
92.244, 29.53, 0.93
99.819, 35.548, 0.84
109.849, 20.448, 1.91
94.255, 9.28, 1.15
84.674, 18.797, 1.11
88.67, 12.557, 0.74
81.606, 17.035, 0.66
90.939, -0.931, 0.67
97.806, 12.273, 0.73
100.131, 35.473, 1.91
100.374, 14.995, 0.53
99.005, -0.734, 0.7
103.775, 4.164, 0.56
