nura, nudec, angerr
75.024, -13.371, 0.62
59.879, -3.885, 1.03
87.131, -2.075, 0.73
73.365, -10.438, 0.28
61.624, -8.825, 1.16
61.343, -7.426, 0.33
71.344, -13.341, 0.81
82.995, 10.985, 0.94
61.668, -8.099, 1.19
82.159, -4.895, 0.8
80.537, -17.952, 0.6
69.753, -10.285, 0.53
73.854, -19.398, 1.09
85.796, 1.998, 0.85
61.607, 8.798, 0.74
92.139, -4.65, 1.2
63.812, 13.128, 1.06
67.373, -15.329, 1.15
79.39, 7.641, 0.48
74.404, -4.599, 0.82
68.193, -0.929, 0.98
85.816, 11.704, 1.4
69.775, -3.063, 0.76
68.514, -0.125, 1.03
80.96, 10.018, 1.24
59.806, 5.967, 0.47
60.775, 10.257, 1.73
84.759, 1.673, 0.66
70.703, -17.772, 0.27
73.974, -7.587, 0.97
63.787, -13.593, 0.48
55.082, -0.293, 1.69
90.819, -0.785, 0.26
66.157, 3.583, 2.15
71.185, -11.531, 0.67
66.086, 2.551, 1.36
71.874, 5.05, 0.88
77.036, -14.531, 0.95
84.984, -12.08, 0.86
81.467, 8.657, 0.4
92.626, 0.695, 0.43
88.773, -3.807, 0.96
91.193, -4.923, 1.14
90.323, -3.122, 0.99
75.062, 10.578, 1.58
83.565, -7.503, 1.14
73.693, 7.334, 0.39
77.692, 2.462, 0.32
81.368, -4.881, 1.0
62.551, -16.836, 0.41
62.032, -3.674, 0.61
80.979, -10.306, 1.05
90.018, -6.968, 0.8
66.878, 6.058, 1.53
84.754, -8.777, 0.48
65.908, -8.841, 0.49
81.786, -9.714, 0.87
62.117, -13.932, 0.66
73.991, 8.661, 1.68
67.181, -2.31, 0.39
67.063, 11.209, 0.62
76.158, 6.906, 0.79
74.408, -1.573, 0.69
93.59, 2.882, 0.99
60.029, 7.142, 0.32
90.614, -3.679, 0.49
77.449, -3.097, 0.45
68.552, -19.17, 1.05
61.916, -2.993, 0.7
75.538, 10.701, 0.66
61.157, -5.738, 0.78
60.57, 2.052, 0.5
74.569, 0.307, 0.8
85.694, -17.069, 0.32
62.619, -5.595, 1.11
78.846, -20.56, 0.6
90.971, -4.255, 0.69
71.519, -16.663, 1.12
90.939, -0.931, 0.67
67.171, 4.226, 0.42
81.145, -12.599, 0.82
66.372, -6.824, 0.65
83.308, -1.784, 0.89
63.657, 7.951, 0.76
89.511, -10.54, 0.4
68.989, -6.531, 0.56
66.369, -4.985, 0.81
78.475, -18.848, 0.94
85.553, -6.107, 0.55
85.126, 6.871, 0.84
69.168, 0.411, 0.44
66.094, 3.86, 0.55
65.595, -1.301, 0.99
70.005, -16.38, 0.94
83.915, -15.621, 0.38
90.987, -1.445, 0.53
73.18, -12.016, 0.74
72.312, 10.181, 0.99
80.22, 5.929, 1.13
56.563, -9.792, 1.02
82.316, 5.03, 0.88
79.966, 14.049, 0.77
55.43, -3.16, 0.6
62.458, 3.094, 0.37
82.997, 12.943, 0.45
62.867, -15.562, 0.87
90.159, 1.866, 0.46
78.082, -11.032, 0.95
94.148, -2.568, 0.55
90.889, 6.576, 1.17
79.249, -10.828, 0.67
61.947, -0.521, 1.06
71.357, 16.429, 0.58
80.716, 2.715, 0.39
76.675, -9.504, 0.38
78.855, 5.087, 0.51
85.034, -6.851, 0.77
88.948, -16.106, 1.14
63.733, -7.412, 0.52
79.968, -17.353, 0.94
75.296, -0.418, 0.38
65.305, 5.396, 0.74
89.051, -8.2, 0.76
85.375, 2.15, 0.64
56.122, -4.18, 0.93
63.424, 3.226, 0.46
70.937, -19.301, 0.57
83.196, -10.325, 0.48
82.674, -2.762, 0.59
62.247, 11.287, 1.11
63.365, -11.285, 1.03
58.402, 3.001, 0.63
83.604, -11.296, 0.85
68.06, -0.718, 0.37
93.492, -5.5, 1.11
77.503, 2.407, 0.52
63.073, -16.419, 0.31
76.479, 0.523, 0.82
71.494, -9.706, 0.92
88.347, -10.051, 0.32
83.706, -13.258, 0.56
82.567, 0.633, 0.85
74.36, -13.014, 0.65
83.982, 6.13, 0.98
78.017, -19.469, 0.38
75.471, -19.108, 0.62
74.856, 3.243, 0.74
71.637, 12.982, 1.13
88.972, -5.095, 1.1
65.446, 7.347, 1.18
88.948, 8.187, 0.62
85.683, 4.476, 0.9
75.233, -5.006, 1.07
71.752, 7.166, 1.76
74.833, -4.588, 0.91
71.386, -0.028, 1.32
81.779, -20.166, 0.84
86.264, 12.78, 1.63
67.915, 8.663, 1.68
72.648, -15.966, 0.55
68.842, -16.047, 0.95
74.135, 3.072, 1.47
76.762, -0.907, 0.79
65.511, 9.345, 0.81
91.414, -9.825, 0.33
92.315, -11.707, 1.11
57.807, 5.779, 0.41
60.064, -9.316, 0.97
76.508, 0.888, 0.65
89.077, 4.45, 0.65
85.003, 2.362, 0.78
72.828, -3.333, 1.1
88.035, 3.78, 0.59
67.293, -10.931, 1.16
83.774, -1.581, 0.69
88.915, 6.619, 1.23
83.05, -18.085, 0.26
69.649, -12.055, 0.74
68.268, -1.83, 0.85
82.2, 10.071, 0.38
72.703, -9.143, 1.08
77.242, 2.008, 0.86
82.573, 0.294, 0.72
70.986, -1.56, 0.54
58.289, -11.646, 0.49
68.907, -6.65, 0.85
70.217, -1.171, 0.54
64.124, 4.835, 1.12
93.271, -3.226, 0.96
64.497, -3.386, 0.39
92.449, -8.48, 0.94
91.525, -11.673, 0.66
75.62, -16.497, 0.95
58.054, -4.329, 0.96
84.848, -18.38, 1.25
67.246, 10.825, 0.84
81.632, -16.015, 0.71
81.453, -14.434, 0.56
82.395, -9.865, 0.35
85.064, 4.628, 0.44
71.935, -4.67, 0.91
75.167, -21.515, 0.6
66.983, 6.705, 0.92
67.213, -11.638, 0.57
74.715, -18.743, 1.17
69.435, -16.458, 0.55
76.277, 15.793, 1.0
84.985, -1.64, 0.9
68.866, -5.528, 1.14
80.48, 1.012, 1.11
73.09, -1.757, 0.82
71.973, 10.418, 0.76
68.716, 4.077, 0.62
71.766, 12.701, 0.35
85.473, -17.319, 0.75
90.451, -9.331, 0.45
80.431, 12.597, 1.09
66.605, -13.452, 0.47
82.303, 0.069, 2.07
84.685, -13.567, 1.06
68.67, -8.269, 0.95
86.776, 13.854, 0.99
81.159, 16.464, 2.01
86.101, -18.446, 0.78
88.622, 6.189, 1.25
79.426, -18.198, 1.11
92.351, -6.697, 1.04
86.173, -11.15, 0.49
86.861, 0.481, 0.85
90.749, 4.669, 0.65
72.575, -18.623, 1.22
60.348, -15.459, 1.06
84.255, -13.681, 0.97
86.611, 2.063, 1.09
82.199, -3.099, 0.97
55.179, 0.165, 0.95
60.229, -9.583, 0.2
92.496, 6.679, 0.57
72.023, -15.699, 1.21
79.016, 3.885, 0.46
81.593, -1.023, 0.75
69.065, -0.692, 0.97
85.415, 10.385, 0.71
56.585, -8.597, 0.74
57.379, 1.196, 0.45
65.3, -4.148, 0.83
62.7, -17.672, 0.24
91.18, -11.642, 0.57
58.968, -1.232, 1.02
82.931, -16.957, 0.98
93.094, -7.19, 0.2
77.218, -18.519, 0.38
56.08, -5.274, 1.11
75.795, -9.171, 0.86
69.621, -16.565, 1.2
81.829, 5.91, 0.69
77.896, -15.819, 1.07
91.008, 0.473, 0.56
83.025, -10.136, 1.21
75.204, -13.609, 0.84
82.247, 5.918, 0.86
72.394, -18.08, 0.64
56.621, -1.231, 1.01
63.298, 7.928, 0.69
89.985, -14.764, 0.8
78.033, -18.439, 1.19
89.023, 7.699, 0.56
87.242, -17.775, 1.08
89.219, -4.989, 0.91
84.183, 10.379, 2.24
62.308, -0.479, 0.87
75.601, 9.377, 0.66
87.984, -0.743, 1.13
69.88, -2.922, 0.68
82.682, 1.34, 0.78
75.779, -7.684, 0.96
70.406, -10.545, 0.72
63.386, 11.296, 0.66
61.674, -11.798, 1.0
88.43, -15.383, 0.61
66.608, -6.283, 0.9
66.386, -18.943, 0.64
93.629, -8.909, 1.1
63.602, -0.371, 0.92
71.068, 7.364, 0.46
87.391, 3.594, 0.62
79.805, 8.337, 2.42
77.582, -10.477, 1.12
64.109, 5.207, 1.03
88.6, -7.252, 0.4
70.88, -12.898, 0.78
80.295, -17.29, 0.98
65.22, 14.843, 0.97
72.841, 8.414, 0.45
90.182, -9.981, 0.34
91.797, -0.704, 1.07
66.894, -2.711, 1.12
66.185, -2.809, 0.84
91.377, 6.238, 0.67
87.724, 1.146, 0.56
57.782, 5.817, 2.18
63.7, 4.272, 0.79
61.351, 0.657, 0.62
72.216, -2.109, 0.67
90.104, -3.326, 0.55
91.781, 3.333, 1.17
74.893, 15.726, 0.34
82.463, 3.885, 2.35
83.09, -8.219, 0.75
77.155, -15.25, 1.12
80.533, 0.325, 1.73
83.885, 8.836, 0.7
65.956, -5.597, 1.07
78.112, 6.909, 1.51
79.918, -2.23, 0.93
92.882, 3.884, 0.92
85.895, 3.442, 0.98
81.038, -2.789, 0.65
88.985, 5.993, 0.92
76.374, -9.66, 1.07
77.636, 4.061, 0.43
73.966, 7.116, 0.64
66.545, -9.706, 1.11
60.105, -5.247, 0.33
74.821, 17.237, 1.17
70.297, -5.372, 1.14
67.008, 9.937, 0.84
68.542, -15.331, 0.3
57.591, -2.482, 0.72
79.685, -14.24, 0.72
67.827, 2.989, 1.39
74.914, 5.937, 0.49
62.093, -12.342, 1.16
63.49, -11.627, 0.93
88.033, -8.715, 1.04
91.858, -10.124, 1.09
71.417, 3.588, 0.4
62.251, -2.517, 0.84
83.195, -14.698, 0.35
57.167, 2.782, 0.68
77.674, -14.353, 0.34
89.15, 5.096, 0.47
64.765, 10.833, 1.68
80.493, 8.858, 1.1
71.125, -14.154, 0.93
86.037, 0.498, 1.36
62.17, -10.986, 1.21
76.012, -14.996, 1.04
81.971, -2.061, 1.76
74.616, 14.512, 1.18
59.623, -6.131, 0.53
75.74, -16.081, 0.93
78.714, 6.289, 0.34
74.567, -16.74, 1.18
71.863, -7.492, 0.61
70.302, -6.37, 1.19
61.803, 3.467, 0.5
77.418, -21.245, 0.3
89.5, -12.929, 1.05
55.143, -4.462, 0.93
80.316, 0.382, 1.27
88.265, 8.696, 1.8
87.052, 5.657, 2.02
72.255, 6.883, 0.86
81.868, -17.255, 0.37
63.841, -2.526, 0.96
68.009, 6.863, 0.56
82.993, -15.965, 0.42
68.291, -7.938, 1.24
57.681, -5.144, 1.03
80.468, 5.358, 1.49
87.538, 9.758, 0.4
64.527, 9.862, 0.97
75.201, 8.215, 0.67
57.8, 6.306, 0.49
65.436, 7.023, 0.58
79.176, 0.067, 1.62
89.381, -13.129, 0.52
61.316, -2.524, 0.76
59.342, -0.619, 1.14
91.018, 2.555, 0.44
61.351, -10.775, 1.0
91.957, 2.061, 0.46
80.757, 6.79, 0.65
82.872, -16.294, 0.8
61.577, -9.581, 1.21
84.984, 10.543, 0.66
64.715, -13.511, 0.79
92.619, -3.919, 1.04
78.328, -11.697, 1.23
87.288, -9.689, 0.46
82.394, -17.951, 0.65
59.52, 5.261, 0.89
86.349, 1.426, 0.7
57.712, -10.341, 1.06
75.478, -10.813, 0.29
55.254, -0.615, 0.94
59.722, -10.78, 0.82
91.626, -9.365, 1.08
61.037, -15.083, 0.99
73.34, 8.074, 1.5
67.857, 5.197, 2.13
62.692, 3.378, 0.57
84.081, 1.469, 0.79
84.951, -15.627, 1.12
79.476, 5.445, 1.18
86.966, -2.569, 0.62
81.098, -1.071, 1.14
61.261, -1.315, 0.99
80.947, -13.721, 1.13
66.725, -19.557, 0.29
81.691, 2.807, 0.6
60.936, 5.661, 1.26
60.855, -8.713, 0.88
73.568, -16.589, 1.01
77.568, 12.84, 0.7
67.704, -12.434, 0.61
67.502, 1.521, 0.62
80.769, 5.22, 1.24
72.344, 3.814, 0.44
68.983, -11.346, 0.51
77.07, -8.631, 1.14
69.317, -2.077, 0.48
84.244, 1.585, 1.41
83.013, -4.789, 1.17
83.741, 0.781, 0.79
90.892, 9.024, 0.94
71.88, -11.622, 0.73
63.995, 8.431, 1.36
84.892, -8.854, 0.93
81.107, 6.041, 0.9
63.625, -12.593, 0.77
68.571, 14.468, 0.33
70.987, -11.965, 0.35
65.116, -16.984, 1.2
70.225, -11.886, 1.01
81.86, -17.696, 0.82
66.541, 6.41, 0.41
80.613, 5.781, 0.76
68.811, -9.388, 0.99
57.468, -3.347, 1.08
74.077, 17.13, 0.45
61.162, -15.115, 0.46
67.391, -17.587, 0.66
81.639, -1.628, 1.52
80.637, -1.987, 0.9
82.367, -18.037, 1.08
87.379, -4.328, 0.78
74.297, -20.524, 1.01
75.347, -19.863, 0.96
72.267, 8.427, 1.56
64.121, -5.001, 1.17
80.221, 4.964, 1.68
73.561, -4.64, 1.02
78.062, 12.28, 0.73
76.685, -2.13, 0.54
65.421, -16.323, 0.38
71.873, 12.727, 1.1
87.191, -3.605, 0.72
74.874, 3.746, 0.54
79.997, -10.251, 1.04
69.918, 13.937, 1.07
62.292, 11.725, 1.11
86.022, 3.609, 0.5
83.127, -8.139, 0.31
82.25, -9.511, 0.95
64.575, -17.023, 0.38
73.828, -0.76, 0.53
70.165, 11.277, 0.81
78.47, -12.456, 1.21
77.669, 3.216, 0.67
66.734, -0.983, 0.85
63.344, 5.333, 0.54
79.11, 14.154, 0.54
59.522, 3.944, 0.69
85.09, -19.176, 0.72
73.024, 2.603, 0.74
59.77, 0.457, 0.51
70.665, 2.733, 0.34
87.121, 4.227, 1.48
89.11, -12.288, 0.57
69.826, -15.144, 1.18
64.723, 7.861, 1.33
62.801, 9.168, 1.13
65.376, -10.538, 0.7
58.807, -2.837, 1.13
81.92, 4.76, 1.21
83.9, -3.228, 0.96
91.332, -8.152, 0.51
90.527, 0.331, 0.65
67.0, 9.205, 1.46
74.521, -6.015, 0.87
66.295, -10.822, 0.53
64.836, -12.055, 0.76
74.524, -16.508, 0.85
61.219, -15.798, 0.39
67.821, -0.098, 0.43
74.809, -2.256, 0.63
69.095, -3.974, 1.08
87.558, -1.281, 0.63
84.637, -3.85, 0.67
62.916, 6.938, 0.97
64.139, 7.239, 2.15
62.432, -1.788, 1.05
75.715, 5.147, 0.56
70.75, -18.41, 0.98
74.363, 4.157, 0.63
80.221, 8.914, 0.84
61.051, -13.364, 0.22
66.037, -9.399, 1.03
60.305, -14.019, 0.69
66.84, 7.237, 2.22
70.767, -5.89, 0.52
66.635, -6.811, 0.82
63.087, -16.546, 0.97
78.267, -9.716, 0.81
86.961, 3.927, 1.2
73.732, 6.759, 0.73
79.873, -0.538, 0.62
92.392, -11.647, 0.66
75.392, 6.041, 1.41
85.125, -8.9, 0.36
74.441, 13.519, 2.08
63.594, 3.205, 0.84
73.505, -9.946, 1.01
79.664, -8.965, 0.98
91.964, 3.968, 1.3
67.809, -16.456, 0.99
81.107, -15.396, 0.93
77.472, -21.574, 0.9
91.877, 4.567, 0.68
68.773, -2.277, 0.69
79.989, -5.762, 0.92
76.492, -15.323, 0.28
70.048, 0.266, 0.65
59.499, -6.153, 0.86
80.893, 3.982, 0.84
90.097, 1.083, 1.66
60.533, -0.015, 0.44
67.903, 5.058, 0.78
