nura, nudec, angerr
236.214, -43.87, 0.7
262.551, -42.079, 0.42
247.86, -35.157, 0.64
248.336, -63.868, 1.0
236.845, -37.809, 0.51
246.284, -43.33, 0.2
244.022, -37.591, 1.02
215.78, -46.274, 0.59
254.278, -44.372, 0.26
207.313, -50.292, 0.65
246.997, -56.235, 1.15
219.304, -50.774, 1.16
257.156, -60.554, 1.25
220.422, -39.143, 0.45
260.037, -47.477, 1.18
259.0, -55.554, 0.64
240.978, -29.996, 0.35
224.502, -57.111, 0.99
263.817, -46.338, 0.94
266.026, -46.167, 0.64
239.76, -32.21, 1.25
266.507, -57.462, 0.49
217.768, -49.87, 0.88
212.923, -41.74, 0.3
239.937, -39.183, 0.34
222.037, -62.33, 0.21
253.808, -44.993, 0.62
263.978, -56.494, 1.06
245.352, -44.74, 0.77
221.033, -52.408, 0.44
245.857, -38.464, 1.13
217.857, -39.983, 0.39
238.684, -53.69, 0.4
233.179, -67.092, 0.93
264.48, -50.709, 0.88
213.262, -50.914, 0.28
254.231, -38.823, 0.39
258.293, -43.809, 0.55
234.955, -54.68, 0.23
219.818, -34.789, 0.91
258.879, -37.492, 1.15
223.972, -43.963, 0.2
240.318, -33.98, 0.44
230.453, -34.752, 0.66
257.995, -55.277, 0.35
236.252, -61.013, 0.61
235.918, -54.551, 0.49
234.171, -62.508, 0.98
224.865, -43.358, 0.61
243.174, -31.297, 1.12
214.581, -65.347, 0.46
214.353, -56.938, 0.49
250.218, -48.84, 0.81
217.551, -54.294, 0.35
261.583, -50.241, 0.6
257.538, -50.337, 0.45
218.235, -62.835, 0.32
216.829, -42.217, 0.77
217.9, -40.188, 0.36
240.196, -42.862, 0.42
247.764, -47.813, 0.68
224.624, -43.466, 0.62
257.875, -60.407, 1.17
252.46, -39.24, 0.33
211.829, -56.911, 0.51
212.651, -54.304, 0.33
205.986, -53.202, 0.41
246.457, -63.863, 0.46
211.206, -42.79, 0.37
227.527, -50.342, 1.05
245.895, -32.17, 0.43
263.235, -63.36, 0.66
227.352, -32.623, 0.46
245.019, -46.602, 0.22
224.528, -34.188, 0.51
219.227, -47.434, 0.61
235.719, -69.03, 0.73
253.507, -57.666, 0.75
232.43, -62.664, 0.27
234.204, -65.701, 0.32
222.566, -61.318, 0.62
265.029, -55.888, 0.23
210.392, -58.702, 0.44
216.411, -62.343, 0.31
222.773, -49.793, 0.71
221.347, -38.128, 0.76
259.117, -40.528, 1.05
233.865, -37.86, 0.71
233.514, -67.688, 0.29
263.18, -51.031, 0.77
266.957, -47.822, 0.41
246.322, -39.259, 0.98
230.788, -52.966, 0.3
261.142, -48.919, 1.03
233.855, -37.779, 0.92
240.889, -31.012, 0.55
244.845, -36.599, 0.51
232.987, -42.675, 0.62
237.36, -66.907, 0.21
246.727, -39.602, 0.29
241.344, -53.446, 0.31
256.447, -57.375, 0.42
252.26, -66.762, 0.25
233.652, -37.276, 0.51
260.33, -49.333, 0.78
233.99, -49.409, 0.75
247.478, -34.858, 0.95
231.804, -43.726, 1.17
226.737, -36.646, 0.51
231.658, -35.934, 0.85
236.291, -57.935, 1.21
221.541, -46.192, 0.38
229.905, -63.435, 1.23
236.364, -64.851, 0.63
245.519, -50.397, 0.21
242.499, -35.231, 0.43
242.149, -62.017, 0.55
214.837, -58.737, 1.26
234.464, -31.276, 1.11
238.814, -48.846, 0.61
235.434, -54.793, 1.21
245.47, -44.063, 0.28
237.768, -57.064, 0.26
240.148, -50.005, 0.72
241.712, -35.623, 0.7
236.876, -66.085, 0.24
209.217, -44.899, 0.39
268.324, -55.895, 0.51
221.676, -48.552, 0.7
253.095, -38.589, 0.55
229.674, -55.905, 0.92
224.913, -52.009, 0.26
228.583, -41.874, 0.65
216.269, -40.686, 0.69
207.772, -52.98, 0.47
252.498, -41.378, 0.56
238.337, -57.765, 0.66
253.83, -34.502, 1.27
236.527, -47.51, 0.54
254.489, -55.145, 1.09
224.066, -49.2, 0.52
214.847, -51.242, 0.31
213.215, -41.096, 0.55
243.326, -45.176, 0.5
237.774, -65.17, 0.25
244.353, -40.734, 0.43
252.57, -40.794, 0.56
235.566, -43.647, 0.71
226.391, -68.391, 0.43
252.313, -51.344, 0.39
239.658, -49.955, 0.69
255.915, -52.388, 0.65
257.515, -51.868, 1.26
237.028, -57.367, 0.67
241.062, -34.311, 1.0
244.218, -31.267, 1.21
230.902, -30.807, 0.82
228.206, -55.627, 0.39
212.056, -49.448, 1.04
237.451, -48.73, 0.45
242.079, -41.233, 0.65
255.046, -49.635, 0.7
240.273, -42.847, 0.75
233.42, -44.032, 0.33
257.621, -65.73, 0.37
260.394, -51.462, 0.49
220.289, -40.788, 0.54
247.907, -41.164, 0.34
261.528, -44.148, 0.98
250.568, -66.692, 0.4
227.356, -32.535, 0.39
219.147, -51.013, 0.92
227.756, -65.595, 0.4
242.411, -43.351, 0.45
264.75, -56.043, 1.11
244.818, -61.7, 1.09
232.782, -68.823, 0.28
258.228, -55.678, 0.48
264.306, -48.882, 0.98
224.287, -47.893, 0.83
264.022, -54.535, 0.2
230.436, -40.734, 1.14
215.115, -63.419, 0.31
253.686, -39.767, 0.49
226.515, -57.825, 1.22
249.277, -60.502, 0.64
245.992, -42.558, 1.14
256.336, -37.59, 0.59
248.417, -57.344, 0.34
229.124, -48.055, 0.78
234.464, -33.303, 1.28
239.845, -52.43, 0.93
252.181, -60.238, 1.06
241.885, -55.621, 0.32
225.769, -35.052, 0.46
267.587, -52.009, 0.44
258.598, -39.353, 0.32
236.605, -44.619, 0.39
254.645, -53.613, 0.85
251.423, -33.745, 0.3
236.268, -38.695, 1.19
206.911, -54.874, 0.78
238.361, -59.405, 0.48
261.789, -44.167, 0.62
235.825, -45.209, 0.67
225.059, -66.105, 1.25
245.11, -36.515, 0.56
261.642, -46.785, 0.41
244.011, -45.444, 0.97
251.154, -47.872, 0.26
251.919, -46.567, 0.41
241.854, -52.542, 0.5
208.956, -58.481, 0.38
239.034, -68.417, 0.72
223.563, -37.102, 0.54
242.411, -44.957, 0.35
241.554, -48.833, 0.42
229.724, -51.026, 0.3
221.678, -36.736, 0.57
228.994, -45.386, 1.22
216.421, -61.281, 0.46
211.947, -59.804, 0.36
258.499, -48.728, 0.39
229.691, -40.627, 1.21
232.078, -40.431, 0.37
221.857, -49.946, 0.65
226.809, -58.985, 0.56
243.521, -48.256, 0.32
219.391, -47.754, 0.78
241.324, -62.873, 1.08
247.524, -31.132, 1.28
237.481, -34.092, 0.38
229.02, -40.047, 0.32
213.022, -39.333, 0.82
253.581, -43.813, 1.09
218.871, -38.6, 0.71
232.563, -60.331, 0.7
208.909, -57.98, 0.58
