nura, nudec, angerr
196.081, -31.453, 0.49
196.574, -18.234, 0.33
206.213, -33.72, 0.74
171.136, -44.381, 0.52
171.672, -20.845, 0.97
191.468, -17.517, 0.56
169.603, -23.343, 0.72
188.542, -52.006, 0.95
172.172, -27.323, 1.03
196.125, -17.205, 0.52
197.982, -15.492, 0.71
181.962, -15.965, 0.75
199.685, -42.384, 1.19
193.709, -15.416, 0.69
185.776, -21.846, 0.47
204.644, -44.817, 0.67
195.476, -35.241, 0.3
185.945, -21.015, 1.13
206.371, -29.948, 0.45
167.332, -26.087, 0.88
199.52, -25.019, 0.3
182.6, -30.978, 0.68
178.564, -19.238, 0.8
195.931, -44.365, 1.13
200.012, -27.319, 1.17
176.132, -17.46, 1.09
188.117, -42.859, 0.58
209.755, -33.183, 0.2
195.629, -50.854, 0.5
181.767, -24.831, 1.06
183.261, -20.091, 1.14
166.426, -23.771, 0.82
169.154, -27.529, 0.62
209.821, -39.209, 1.02
202.5, -21.288, 0.42
187.182, -34.202, 0.36
177.325, -22.816, 0.99
165.868, -27.899, 0.24
206.391, -25.593, 0.31
203.777, -20.081, 1.23
201.986, -28.843, 0.83
206.099, -31.467, 0.36
198.622, -26.268, 1.08
177.141, -18.082, 0.79
196.793, -16.879, 0.86
193.217, -23.698, 0.69
194.486, -20.006, 0.35
208.797, -38.647, 0.48
194.298, -16.181, 1.05
177.918, -17.8, 1.27
183.834, -14.0, 1.12
189.529, -51.607, 0.42
197.174, -43.774, 1.06
178.61, -21.215, 1.19
178.936, -33.45, 1.05
177.53, -17.517, 0.5
174.991, -33.45, 0.75
187.907, -18.901, 0.93
196.486, -16.937, 0.81
198.723, -47.24, 0.8
182.67, -33.247, 0.93
207.811, -39.024, 1.1
178.416, -35.554, 0.63
165.917, -42.458, 0.42
208.169, -41.864, 0.59
204.039, -33.423, 0.86
202.747, -28.535, 1.11
196.099, -18.172, 0.41
167.626, -28.054, 1.28
208.161, -37.059, 1.26
181.057, -26.255, 0.43
201.16, -37.971, 0.75
199.719, -43.085, 0.64
205.573, -39.682, 0.74
194.624, -33.028, 0.73
172.036, -33.976, 0.92
204.923, -40.997, 0.34
180.875, -18.547, 0.87
198.649, -20.058, 0.55
166.143, -29.8, 0.63
163.999, -35.228, 0.6
175.921, -35.147, 0.6
174.602, -42.22, 0.56
183.703, -18.131, 0.87
179.993, -17.84, 1.12
183.164, -29.161, 1.08
192.396, -17.426, 0.89
176.413, -36.25, 0.96
197.773, -46.091, 0.67
206.086, -28.882, 0.95
166.838, -31.38, 0.54
201.974, -36.387, 0.56
202.808, -20.361, 0.47
178.588, -35.239, 0.59
196.525, -41.977, 0.45
190.003, -33.581, 0.9
184.152, -25.596, 0.52
177.754, -35.608, 0.33
197.472, -29.929, 0.47
169.833, -30.809, 0.74
202.826, -20.659, 0.89
192.058, -16.244, 0.92
193.499, -32.528, 0.64
178.656, -32.888, 0.92
208.004, -30.453, 0.82
206.878, -30.019, 0.75
178.103, -20.051, 0.36
203.156, -44.081, 1.23
164.648, -34.253, 0.7
193.676, -19.266, 0.35
199.561, -19.068, 0.3
176.249, -33.119, 0.47
187.455, -50.296, 0.51
202.665, -24.106, 1.23
182.743, -33.143, 0.49
168.67, -46.352, 1.05
197.402, -27.615, 1.26
193.457, -27.955, 1.22
199.944, -25.033, 1.27
198.248, -39.099, 0.93
200.996, -23.103, 0.43
181.353, -13.479, 1.2
198.583, -36.399, 0.59
179.978, -32.724, 0.26
169.519, -20.302, 0.45
179.642, -24.05, 0.43
177.599, -22.483, 1.27
193.551, -26.504, 0.43
206.777, -33.586, 0.48
180.423, -49.882, 0.36
175.024, -24.208, 1.15
169.744, -43.416, 0.72
179.658, -21.378, 0.94
204.554, -43.334, 0.55
186.684, -12.882, 0.97
206.694, -30.422, 0.72
176.188, -30.053, 0.91
174.164, -41.634, 1.06
180.522, -14.034, 1.1
173.449, -38.6, 0.51
200.401, -48.094, 0.31
189.301, -41.205, 0.36
195.841, -35.903, 1.22
201.461, -24.082, 0.66
173.374, -33.538, 1.02
189.137, -35.08, 1.12
171.502, -40.802, 0.52
185.875, -21.607, 0.41
181.264, -44.573, 0.59
186.802, -44.776, 0.4
198.301, -19.653, 0.59
180.543, -36.278, 0.42
179.888, -30.667, 0.9
167.875, -22.095, 0.4
184.818, -22.101, 1.01
209.702, -34.512, 0.74
190.382, -42.48, 0.77
201.6, -25.679, 0.37
184.696, -48.688, 1.03
173.905, -29.057, 0.65
206.237, -43.646, 0.61
184.044, -25.855, 1.04
186.574, -43.925, 0.33
179.382, -14.717, 1.01
183.571, -18.3, 0.79
186.81, -31.802, 0.38
188.685, -33.946, 1.13
172.751, -39.616, 0.86
167.98, -26.167, 1.01
178.992, -36.521, 0.84
192.318, -41.235, 0.45
193.208, -38.964, 0.5
197.24, -42.947, 0.78
174.107, -41.442, 0.77
204.725, -26.264, 0.47
207.119, -32.023, 0.68
201.56, -26.35, 0.37
179.443, -26.805, 0.53
178.237, -26.022, 0.65
170.96, -23.021, 0.51
171.444, -25.741, 0.38
166.661, -39.876, 0.48
196.138, -16.101, 0.48
202.604, -34.658, 1.23
196.478, -17.591, 0.58
179.955, -35.976, 1.26
185.836, -36.489, 0.82
207.061, -35.246, 0.36
171.182, -43.67, 0.95
174.103, -41.908, 0.43
205.748, -25.005, 0.44
175.926, -19.864, 0.72
181.463, -50.945, 0.45
164.518, -29.022, 1.04
171.27, -41.579, 1.06
204.486, -30.973, 0.57
202.89, -26.188, 0.8
163.465, -30.502, 0.7
174.955, -42.325, 0.37
185.161, -45.463, 1.2
