nura, nudec, angerr
284.94, 19.548, 0.71
276.364, 8.41, 0.32
279.929, 8.359, 1.21
270.695, 11.872, 0.6
281.284, 9.142, 1.13
264.795, -8.359, 0.83
271.832, -9.601, 0.87
296.759, -0.907, 0.9
278.521, 2.033, 0.63
281.843, 13.153, 1.14
278.877, -5.834, 0.52
274.545, 3.748, 0.97
261.556, 9.627, 1.12
296.046, 9.328, 1.52
262.375, -8.11, 0.44
283.757, 19.73, 0.68
286.133, -15.297, 0.9
281.065, -6.764, 1.13
283.344, -8.841, 0.8
279.938, 4.851, 1.16
265.318, 3.357, 0.74
272.319, -11.356, 0.87
270.134, 18.224, 1.14
273.091, -10.237, 0.8
266.15, -1.807, 0.72
270.07, -5.47, 1.07
278.501, -18.311, 0.95
267.013, -0.191, 0.67
269.721, -2.86, 0.77
267.193, 13.427, 0.71
288.487, -1.242, 2.16
273.3, 13.206, 0.79
283.266, -5.284, 1.14
287.6, -9.5, 1.0
283.997, -0.68, 1.12
274.303, 17.218, 0.54
271.256, -8.42, 1.02
278.159, -17.249, 0.89
276.483, -2.287, 1.11
271.873, -2.516, 0.77
276.931, 2.521, 0.99
287.933, -11.066, 0.82
282.855, 8.203, 0.97
276.448, 4.649, 1.64
296.219, 2.354, 1.63
294.044, 10.686, 0.67
298.076, -5.159, 0.83
259.858, 0.53, 0.79
288.583, -8.441, 0.56
275.316, 10.566, 1.68
283.64, -0.18, 1.05
277.915, 6.814, 0.99
293.51, -5.206, 1.12
284.825, -3.09, 0.39
269.016, -8.745, 0.71
298.793, -1.066, 0.49
294.618, 4.43, 0.47
263.002, -5.408, 1.17
266.806, 5.769, 0.68
276.607, 2.41, 2.26
294.166, -11.343, 0.88
294.754, 4.943, 0.58
292.434, 4.909, 0.91
270.959, 10.009, 1.22
266.325, 9.186, 1.69
275.448, -11.721, 0.82
298.704, 0.637, 0.65
272.694, 5.828, 0.72
280.709, 10.569, 0.65
277.295, 1.286, 1.3
285.653, -14.076, 0.41
280.452, 17.427, 1.36
275.131, 7.745, 1.24
296.622, -7.598, 0.5
294.786, -0.248, 0.59
271.754, -8.786, 0.78
262.817, -10.182, 1.1
274.602, 7.397, 0.99
279.327, 3.162, 0.93
275.682, 14.868, 0.6
275.334, -17.036, 0.5
266.35, 4.633, 0.42
268.574, 1.253, 1.16
293.173, 11.443, 0.64
283.01, 11.131, 1.28
262.571, 3.285, 1.45
265.224, 6.685, 0.95
280.114, -1.753, 0.95
