nura, nudec, angerr
236.494, 2.329, 0.36
243.254, -4.155, 0.7
229.678, -4.025, 0.94
254.167, -7.915, 1.1
251.498, -20.676, 0.86
239.158, -2.011, 1.09
243.553, -5.243, 1.02
231.58, -18.296, 0.74
229.182, -3.218, 0.98
244.082, -7.583, 1.02
247.112, -10.847, 1.25
264.795, -8.359, 0.83
248.939, 10.301, 1.71
248.164, -3.234, 0.97
262.375, -8.11, 0.44
238.192, 0.79, 0.74
239.06, 6.748, 0.73
242.812, -8.627, 0.85
253.759, -20.175, 0.31
235.687, -19.891, 0.41
248.968, -1.705, 0.95
236.026, -8.012, 0.49
255.791, 4.33, 0.61
255.452, -6.365, 0.78
257.391, 3.167, 1.66
234.095, -2.792, 0.98
259.422, -6.142, 0.94
247.398, -1.344, 1.2
234.493, -22.343, 0.49
254.934, 4.121, 1.3
229.261, -9.25, 0.64
254.323, -24.856, 1.08
258.51, -20.954, 0.69
243.278, -25.91, 0.42
246.865, -22.544, 0.88
242.881, -11.616, 0.94
241.016, -8.02, 1.05
247.268, -22.549, 0.47
244.426, -20.57, 0.65
249.626, -0.584, 0.65
254.59, -22.109, 1.27
254.342, 6.13, 0.74
242.422, 10.91, 0.42
243.402, -11.667, 0.6
243.745, -2.572, 0.48
231.641, -15.861, 0.56
263.641, -15.699, 1.14
227.476, -2.878, 0.84
253.569, -14.108, 1.03
226.808, -9.156, 0.32
252.623, -13.997, 1.05
240.506, -15.355, 1.08
250.275, -5.847, 1.08
262.098, -9.584, 0.8
251.54, -13.394, 0.39
241.976, -26.798, 0.32
244.539, -5.627, 0.92
259.858, 0.53, 0.79
247.188, 4.809, 0.86
256.887, -3.202, 1.12
246.34, -12.058, 0.55
238.822, -20.392, 1.05
242.481, -11.767, 1.12
230.28, -0.571, 1.07
260.095, -16.465, 0.97
248.973, -0.192, 0.77
258.807, 0.987, 1.41
237.532, -12.154, 0.73
232.258, -16.004, 1.14
263.002, -5.408, 1.17
241.266, -24.605, 0.96
226.102, -6.757, 0.82
244.059, -21.07, 0.81
241.204, -6.242, 1.17
261.661, -19.48, 0.44
252.567, -17.621, 0.8
238.07, 4.523, 0.85
230.953, 4.306, 0.99
240.996, -0.084, 1.33
250.809, -27.221, 0.94
236.46, -12.579, 0.85
260.17, -21.94, 1.19
245.878, 2.024, 1.6
241.716, -20.361, 0.79
259.118, -15.842, 1.15
244.852, -3.297, 1.58
251.955, -25.496, 0.79
249.85, 2.808, 0.81
260.387, -14.071, 0.45
251.717, -23.064, 0.71
259.02, -2.396, 1.02
253.444, -22.611, 0.32
258.132, -7.64, 0.45
247.251, 3.645, 0.7
248.712, -25.907, 1.13
251.996, -10.599, 1.12
239.392, -8.978, 1.18
262.817, -10.182, 1.1
237.112, -16.125, 0.63
252.0, -17.61, 0.66
257.618, 1.308, 1.22
252.007, -8.444, 0.6
237.408, -18.302, 1.18
229.3, -12.557, 0.75
240.03, -22.564, 0.42
242.139, -15.494, 1.11
238.07, -24.962, 0.83
235.6, 8.281, 1.38
254.372, 1.563, 1.0
248.746, -27.593, 0.6
226.778, -11.785, 0.63
236.782, -9.297, 0.82
232.762, 5.865, 1.49
244.804, -1.845, 0.97
234.569, -10.131, 0.46
254.232, 2.851, 0.44
265.394, -12.614, 0.3
258.67, -0.658, 0.32
235.502, -4.995, 0.87
229.407, 0.745, 1.65
260.855, -17.764, 1.05
237.611, -0.56, 1.12
247.807, 6.082, 0.99
259.852, 0.901, 0.62
262.214, -11.707, 0.67
251.956, -11.335, 0.59
253.369, -16.78, 0.66
262.579, -16.006, 0.39
247.617, 9.483, 0.51
241.829, -17.914, 0.48
252.004, -5.732, 0.96
263.94, -3.431, 1.07
233.941, -20.289, 0.78
256.535, -7.437, 0.45
249.05, -27.129, 0.6
238.829, -12.853, 1.18
255.679, -2.721, 0.46
242.689, -1.768, 0.84
238.768, -13.026, 0.54
232.509, -23.004, 0.52
255.172, -12.602, 0.95
257.615, -12.74, 0.78
251.637, 3.225, 0.72
230.281, -21.165, 1.15
233.225, -17.561, 1.03
234.681, -9.374, 0.61
253.711, -16.162, 0.39
252.617, -7.589, 1.07
235.823, -24.597, 1.14
248.387, 0.583, 0.58
246.422, -7.754, 0.81
247.386, -2.894, 0.87
249.875, -0.903, 0.54
250.56, -27.109, 0.57
