nura, nudec, angerr
273.337, 63.783, 0.8
322.671, 61.288, 0.8
329.045, 54.443, 0.33
347.236, 58.831, 1.61
322.917, 59.745, 1.39
305.625, 65.89, 0.61
304.452, 52.23, 2.04
306.365, 69.876, 0.32
324.796, 63.626, 0.58
284.992, 68.323, 0.89
319.85, 38.068, 0.9
316.372, 59.955, 0.96
323.623, 38.977, 1.19
338.489, 55.465, 1.5
314.817, 52.004, 1.05
311.924, 74.182, 1.38
320.174, 64.544, 0.4
306.411, 40.188, 0.75
285.849, 45.779, 2.37
303.354, 43.168, 0.24
311.908, 57.237, 1.26
317.714, 58.025, 0.47
325.095, 55.434, 1.58
316.445, 42.239, 1.44
325.47, 46.978, 0.35
285.754, 46.522, 1.11
330.588, 42.761, 0.63
327.703, 74.025, 0.75
308.843, 56.457, 1.6
282.597, 55.248, 0.58
286.764, 50.305, 0.41
310.074, 41.81, 1.55
342.632, 56.28, 0.53
327.22, 47.903, 0.32
299.431, 75.11, 0.3
304.662, 39.54, 0.39
327.856, 53.622, 1.32
305.973, 65.032, 1.11
339.738, 51.645, 0.71
313.464, 68.279, 0.78
283.224, 65.899, 0.96
279.108, 51.048, 0.89
290.919, 49.211, 0.83
291.998, 47.708, 0.44
301.48, 54.602, 0.45
305.744, 48.219, 0.6
296.002, 51.333, 0.81
302.801, 44.46, 0.28
327.57, 52.932, 0.78
332.538, 49.148, 0.42
338.468, 63.377, 1.44
288.148, 54.985, 0.63
316.433, 38.041, 0.6
282.947, 61.428, 0.39
342.517, 51.736, 0.49
281.269, 69.159, 0.57
305.521, 62.385, 0.59
292.125, 51.457, 1.07
305.593, 60.869, 0.63
280.503, 70.057, 1.19
293.043, 54.111, 0.67
332.265, 55.853, 0.48
324.201, 57.376, 0.42
322.225, 52.618, 0.68
275.771, 58.27, 0.98
294.504, 50.157, 0.85
293.922, 62.732, 0.8
297.9, 39.388, 1.57
308.129, 66.086, 2.0
296.158, 65.802, 1.21
319.882, 39.948, 0.76
327.218, 45.601, 1.23
299.209, 64.192, 1.18
300.636, 40.959, 0.33
