nura, nudec, angerr
147.017, -22.059, 0.64
164.956, 2.608, 0.37
144.973, 5.658, 1.58
167.641, -3.204, 0.98
145.08, -12.729, 0.48
137.731, 1.949, 0.95
148.32, 2.68, 0.89
158.427, -9.925, 0.41
152.734, 10.549, 1.09
142.394, -8.695, 1.14
150.62, -13.663, 1.23
145.279, 6.317, 0.74
161.565, -19.383, 0.87
149.966, -25.642, 0.32
149.35, -13.179, 0.5
159.059, -1.021, 0.84
132.374, -13.621, 0.79
140.998, 4.872, 0.35
141.975, -11.862, 0.51
165.726, 2.815, 1.41
165.114, -11.73, 0.49
131.304, 2.288, 0.76
159.068, -12.312, 0.74
156.976, -15.492, 0.95
157.19, -1.245, 0.51
135.642, -15.671, 0.66
130.968, -9.553, 0.74
151.121, -2.146, 0.56
137.66, 7.515, 0.51
140.672, -1.62, 0.45
150.478, -3.519, 0.74
144.028, -12.47, 1.23
142.497, -11.338, 0.41
132.116, -7.638, 0.87
145.536, 5.539, 2.38
148.608, -6.546, 0.93
143.03, -19.418, 0.41
160.195, -21.586, 0.44
159.074, -10.021, 0.54
150.561, 12.977, 0.78
162.313, -13.379, 0.76
163.772, -12.886, 0.27
154.914, -17.728, 0.85
145.698, -4.997, 0.99
152.604, 5.035, 0.96
163.548, -6.107, 0.53
156.7, -8.022, 1.13
162.709, -1.115, 0.97
139.968, 10.537, 0.69
141.923, 2.227, 1.02
157.634, 1.195, 0.62
144.907, -9.258, 0.87
150.442, -6.623, 0.93
145.05, -8.729, 0.31
139.163, 2.304, 1.4
144.426, -4.27, 0.72
150.69, -20.701, 0.49
162.277, -18.053, 0.67
153.488, -11.498, 0.66
168.068, -8.163, 0.85
156.143, 6.498, 1.74
162.674, 6.139, 1.26
156.18, -4.328, 0.62
164.455, 5.25, 0.92
136.388, -21.884, 0.84
151.134, -9.828, 0.39
150.113, 3.011, 1.56
151.285, -3.196, 1.18
159.559, 2.476, 1.42
141.585, 11.965, 0.59
148.743, -3.553, 0.7
147.075, -14.087, 1.18
154.495, -20.973, 0.34
137.623, -17.991, 1.0
139.21, -4.222, 0.56
140.384, -7.956, 1.18
157.916, -17.359, 1.13
129.572, -13.153, 0.92
137.376, -2.929, 0.51
150.198, -10.887, 1.23
144.828, -6.642, 0.43
146.79, -0.647, 0.82
159.018, -22.317, 0.71
140.833, -11.099, 0.36
160.817, -8.253, 0.68
138.521, -5.631, 0.95
148.458, 1.569, 0.93
164.366, -4.1, 1.09
139.789, 2.663, 0.57
141.842, -20.249, 0.81
148.611, -21.502, 0.9
136.272, -15.406, 0.92
136.307, -11.895, 0.77
129.721, -9.276, 0.66
137.481, -11.274, 0.44
144.555, -19.908, 0.51
166.062, -11.64, 0.55
162.188, -12.505, 0.52
137.558, -22.654, 0.28
159.744, -7.093, 0.41
137.463, -4.251, 0.82
131.497, -1.516, 1.0
142.202, -17.313, 0.56
131.996, -12.509, 1.19
163.713, -11.366, 1.1
147.729, -2.464, 1.04
142.735, -10.913, 0.79
149.908, -4.337, 0.38
143.602, 9.752, 0.83
160.925, 1.706, 0.36
158.577, -13.325, 0.81
145.019, -20.557, 1.24
147.41, -13.949, 1.14
148.563, -19.893, 1.19
146.466, -12.999, 0.3
155.288, -14.228, 0.55
150.134, -17.133, 1.13
134.905, -3.366, 0.8
151.934, -12.979, 0.51
160.721, -2.778, 0.94
150.142, -21.334, 0.87
155.21, -0.273, 0.65
129.584, -11.62, 0.4
144.249, 6.213, 1.46
164.516, 4.015, 1.17
152.16, -1.575, 1.1
156.866, -20.463, 1.26
156.614, -6.828, 1.16
156.497, -12.692, 1.24
154.591, -5.11, 1.15
138.365, -12.174, 1.16
149.29, -15.997, 0.74
154.171, -8.721, 0.86
156.916, -7.223, 1.16
162.854, -4.146, 1.14
160.224, -14.479, 0.64
152.567, -3.561, 0.51
147.865, 9.177, 1.16
135.6, -10.853, 0.84
156.62, -8.546, 0.99
141.048, -1.688, 0.78
130.433, 1.437, 0.64
131.714, -5.105, 0.97
145.627, 7.482, 0.48
146.113, -15.307, 1.04
162.667, -10.131, 1.21
149.159, 1.584, 0.5
134.702, -9.755, 0.42
139.42, -10.881, 0.91
129.402, -4.769, 0.57
150.173, -2.685, 0.55
159.613, -22.271, 1.25
135.625, -12.82, 1.07
148.723, -24.089, 1.21
156.913, 8.145, 0.28
161.174, 7.435, 1.0
148.954, -23.084, 0.4
149.228, -22.435, 0.99
151.871, -9.355, 0.72
147.839, -4.043, 0.92
136.401, -6.367, 1.19
163.332, -10.45, 0.95
148.926, -0.143, 0.7
154.586, -17.761, 0.7
141.946, -7.916, 0.53
166.123, -10.9, 0.78
137.17, 3.651, 0.34
144.816, -1.095, 0.75
156.977, 8.181, 0.39
135.078, -5.48, 1.02
134.073, -8.647, 0.57
145.364, -7.644, 1.17
143.211, 9.955, 0.88
150.357, -12.698, 0.54
132.906, -6.141, 0.9
153.696, -4.094, 0.59
131.529, -5.638, 0.93
156.491, 0.439, 0.61
156.785, -18.972, 1.04
130.967, -0.803, 0.69
147.513, -11.642, 0.72
152.985, -12.319, 1.02
163.975, -12.631, 0.71
136.338, -17.082, 0.52
148.554, 0.086, 1.09
153.493, 7.335, 0.46
152.16, 1.244, 1.14
153.227, -16.579, 0.96
134.075, -8.981, 1.0
153.289, 5.001, 1.33
133.299, -2.482, 0.5
155.064, -4.403, 0.78
135.753, -6.607, 0.52
149.997, -0.801, 0.91
146.74, -7.232, 0.51
144.678, 6.306, 1.31
138.861, -22.029, 0.76
137.557, -1.278, 0.71
161.339, -20.322, 0.5
150.24, -1.735, 0.56
135.195, 4.423, 0.99
135.554, 4.619, 0.37
146.284, 6.285, 1.39
155.101, 9.414, 2.32
145.029, -9.399, 0.65
130.487, -3.721, 1.13
143.266, 1.893, 0.52
138.12, -1.673, 0.58
161.841, -0.537, 0.57
155.579, -16.387, 0.35
144.556, 12.515, 0.85
160.933, -20.304, 1.09
151.203, -1.132, 1.05
150.756, -11.701, 0.68
150.193, -20.747, 1.09
128.456, -9.704, 0.8
131.297, -6.772, 0.6
149.149, -11.382, 0.54
149.117, -14.311, 1.1
144.185, -16.713, 0.61
147.161, 3.956, 0.39
153.964, -19.676, 0.33
146.957, -3.741, 1.14
163.095, 4.541, 1.07
131.18, 0.25, 0.89
145.812, 7.038, 0.88
148.316, -7.297, 1.01
136.923, 4.295, 0.55
167.052, -10.842, 1.06
144.751, -6.266, 0.78
147.735, 3.526, 0.81
163.777, -10.679, 1.12
155.475, -12.776, 1.0
149.53, -4.541, 0.95
144.945, -7.462, 1.06
165.428, -7.337, 0.23
155.257, 4.482, 1.58
140.005, -5.894, 1.13
149.84, 6.477, 1.6
154.629, -17.074, 0.72
137.948, -18.646, 0.55
146.619, -4.121, 0.75
136.031, -4.023, 0.33
141.594, -10.368, 0.42
163.191, -3.321, 1.11
161.751, -1.975, 0.88
132.003, 5.323, 0.5
140.551, 2.767, 1.13
144.538, 12.296, 0.9
148.31, -15.993, 1.06
130.787, -6.195, 0.85
146.2, -12.78, 0.58
146.856, 3.95, 0.57
136.503, 6.595, 0.46
133.268, 0.273, 1.3
131.093, -9.305, 1.0
132.615, -8.102, 0.94
152.508, 8.048, 0.44
133.392, 5.229, 1.79
154.537, 1.26, 0.83
152.414, 6.324, 2.28
142.299, 11.106, 0.59
145.333, 4.537, 0.33
135.257, -11.117, 0.63
152.615, -15.367, 0.47
163.037, -13.439, 0.76
155.44, -9.228, 0.67
133.444, -18.041, 1.26
133.401, -6.708, 1.11
142.851, 7.431, 1.33
151.078, -3.717, 1.1
163.291, 4.835, 2.32
146.648, -18.771, 0.94
141.031, -14.595, 1.04
129.611, -0.874, 1.3
133.147, -14.353, 0.47
141.12, -15.88, 1.09
151.525, 0.316, 0.99
157.384, -2.327, 0.67
135.051, -0.185, 0.57
134.208, -0.017, 1.79
141.991, -16.356, 0.87
147.254, -23.284, 0.75
149.947, -3.378, 0.76
162.79, 4.838, 0.48
135.623, 8.588, 0.68
136.378, -4.648, 0.77
134.181, 2.407, 0.72
134.298, 1.278, 0.69
142.674, -11.266, 0.39
142.279, -19.139, 0.98
142.887, -2.529, 1.15
152.478, -17.842, 1.19
139.564, 10.976, 0.83
153.584, 9.007, 0.61
145.736, -21.6, 0.54
150.809, -25.275, 0.46
162.347, 4.26, 1.17
140.112, -15.18, 0.51
133.144, -8.801, 0.95
141.003, -22.701, 0.32
137.264, -10.907, 0.33
142.045, 9.056, 0.77
145.67, -4.911, 1.1
165.288, 2.885, 0.6
131.827, 4.489, 0.98
139.508, 3.434, 0.29
156.986, -9.857, 0.22
141.817, -18.264, 1.04
153.072, -1.842, 0.75
133.825, 3.318, 0.95
159.566, -1.702, 0.75
151.176, -24.663, 0.4
149.788, -18.12, 0.27
130.666, -4.528, 0.63
151.056, -22.407, 1.01
146.278, -20.226, 0.7
157.099, -13.771, 0.74
139.699, -14.93, 0.61
149.472, 4.577, 0.61
133.8, 5.383, 0.79
139.629, -12.059, 0.61
164.37, -16.439, 1.16
135.844, -17.171, 0.32
148.184, 2.094, 0.44
136.029, -14.72, 0.66
155.539, -8.669, 0.97
160.627, 3.672, 1.59
151.31, 13.318, 0.78
154.065, 1.148, 1.85
156.32, -14.813, 0.79
146.417, -0.121, 0.68
131.541, -6.664, 1.01
139.701, -12.847, 0.8
132.232, -3.721, 1.16
152.48, -18.6, 0.32
142.109, -6.429, 0.97
148.322, 1.335, 0.73
164.476, -11.282, 0.98
146.563, 9.901, 0.68
160.008, -9.833, 0.3
142.487, 9.354, 0.61
148.286, -9.946, 0.8
140.285, -13.189, 1.23
141.728, 9.921, 0.87
139.168, -4.725, 1.15
157.665, -18.809, 0.44
157.298, -1.184, 0.54
159.613, 5.616, 1.48
158.964, -8.269, 1.1
130.628, 1.351, 0.9
151.397, -18.132, 0.97
164.087, -15.18, 0.53
153.609, -10.646, 0.77
146.064, 4.772, 0.39
162.336, -14.049, 1.09
144.453, -19.16, 0.48
139.304, -18.194, 0.65
130.411, -8.773, 1.12
154.297, -2.957, 0.95
157.813, -1.616, 0.62
166.278, -12.676, 0.98
144.187, -18.713, 1.16
141.567, 6.047, 0.86
151.888, -19.662, 0.9
