nura, nudec, angerr
343.547, 17.572, 1.79
0.348, 3.637, 0.56
1.411, -1.303, 1.2
350.995, -1.588, 0.82
329.899, -3.251, 0.78
342.047, 0.938, 0.82
336.374, 2.85, 1.9
346.333, 9.896, 0.7
335.16, 5.052, 0.96
354.703, -2.072, 0.45
334.025, 7.114, 0.46
352.498, -10.766, 0.55
334.825, 17.624, 0.95
346.301, -3.857, 0.47
343.3, -17.51, 1.05
359.477, -11.117, 0.78
342.746, 14.586, 1.63
353.099, -16.787, 0.4
352.227, 10.795, 1.15
340.746, -10.535, 0.29
334.253, -2.645, 0.96
352.007, 12.829, 2.04
349.543, 8.223, 0.76
342.281, -19.453, 0.67
351.533, 10.911, 1.81
343.852, 8.557, 1.28
344.432, 5.617, 0.44
356.193, 5.188, 0.3
359.539, 1.011, 1.26
343.144, 8.788, 1.38
343.884, 11.914, 0.45
334.287, -15.012, 0.3
349.528, -11.541, 0.68
335.975, -19.551, 0.7
351.899, -11.644, 1.08
335.534, -13.481, 1.14
342.407, -14.762, 0.42
341.519, -8.82, 1.07
349.392, -1.5, 0.94
331.785, 5.981, 0.54
348.39, -1.599, 0.94
359.583, 2.6, 1.33
334.935, 0.313, 1.09
343.477, -11.171, 1.23
345.7, -4.913, 1.01
341.6, 5.152, 0.91
333.851, 5.32, 0.68
342.801, -12.299, 0.75
338.497, -20.137, 0.48
338.576, -6.212, 0.98
349.095, -10.738, 1.16
353.766, -10.782, 0.8
336.119, -19.308, 0.91
355.062, 11.661, 0.76
352.955, 14.321, 2.23
351.449, -1.857, 0.38
334.817, -6.444, 0.91
345.557, -1.241, 1.04
359.428, -0.821, 1.14
343.107, -14.933, 0.91
333.297, 16.03, 0.98
335.496, 8.51, 0.37
359.971, 0.497, 1.48
349.35, 16.729, 1.03
343.619, -19.908, 1.01
322.703, -0.506, 0.93
330.682, 9.471, 1.69
335.611, -13.927, 0.8
337.904, 0.518, 0.48
327.688, -8.931, 0.43
348.252, 5.462, 1.98
359.871, -8.311, 0.2
322.995, -4.712, 0.82
323.43, -4.743, 0.53
336.629, 13.722, 0.38
333.787, 4.694, 0.62
334.893, -18.983, 0.48
356.666, -4.374, 0.39
334.919, -18.374, 1.17
352.943, 1.771, 0.63
359.39, -10.97, 0.8
330.727, 8.764, 0.4
332.548, -11.081, 0.83
340.879, 0.154, 1.31
353.612, -8.992, 0.74
343.811, -7.598, 0.74
354.841, 11.469, 0.82
351.308, -2.275, 0.45
340.705, -9.368, 0.28
337.229, -5.963, 1.17
342.587, 0.786, 0.76
335.609, -14.79, 0.44
334.871, 2.834, 1.4
332.357, -5.115, 1.07
332.522, -17.243, 0.39
342.32, 8.246, 1.28
341.246, -20.555, 0.77
328.479, -13.468, 1.17
359.379, 7.673, 2.31
356.428, 5.199, 1.38
351.27, 1.054, 0.83
330.245, 12.464, 1.31
356.699, 5.254, 0.78
329.44, -1.041, 1.08
328.582, 2.853, 1.16
338.867, 7.557, 0.98
332.623, -15.302, 0.4
341.831, 17.656, 0.54
344.13, 6.53, 0.55
357.665, -0.423, 1.0
355.79, -13.55, 0.36
342.47, -10.496, 0.63
354.147, -15.458, 0.46
340.586, -16.381, 1.19
327.201, 11.777, 0.34
339.792, -1.452, 0.99
355.293, -2.664, 0.88
341.589, 3.248, 0.86
342.687, 18.297, 1.47
341.881, 1.215, 1.98
334.447, 0.558, 0.56
340.239, 1.429, 1.84
332.343, -6.368, 0.62
334.074, -1.365, 0.4
332.654, 3.79, 0.55
330.023, -13.448, 0.81
333.297, -2.715, 0.27
356.974, 0.126, 0.48
334.919, -8.023, 0.63
349.415, 8.655, 0.75
342.85, 13.876, 0.61
340.294, -12.844, 0.56
353.235, 0.945, 0.75
339.298, 15.758, 0.95
332.214, -13.357, 1.09
359.534, 7.203, 0.74
345.023, 2.21, 0.9
339.452, -17.08, 1.1
339.993, -13.415, 0.56
331.773, -3.322, 0.86
341.033, 4.954, 1.34
357.442, -13.769, 0.87
328.721, -9.646, 0.93
332.914, 6.93, 0.57
356.231, 9.385, 0.45
346.33, 7.608, 2.27
350.804, -7.877, 0.53
339.719, -11.379, 0.35
343.422, -20.271, 0.75
333.803, -3.782, 0.42
339.736, 9.821, 0.76
