nura, nudec, angerr
96.531, 71.651, 0.69
55.302, 59.081, 1.58
88.618, 71.862, 1.35
37.369, 56.626, 1.51
75.998, 78.903, 0.61
83.741, 70.976, 0.98
19.504, 70.818, 0.78
34.128, 72.21, 0.36
76.486, 60.098, 0.38
71.591, 62.645, 0.43
54.251, 58.46, 0.61
43.099, 62.635, 0.52
31.333, 69.208, 0.85
111.192, 68.483, 0.47
83.982, 83.101, 1.63
33.779, 78.073, 1.07
41.089, 62.418, 0.58
44.365, 55.07, 0.47
50.296, 71.266, 0.54
101.612, 63.037, 0.6
69.109, 55.027, 0.56
44.755, 79.873, 2.03
62.212, 60.692, 0.79
28.632, 60.636, 0.44
27.183, 58.934, 0.73
88.244, 58.738, 1.3
108.023, 73.068, 1.32
44.216, 50.479, 1.04
53.15, 59.805, 0.27
65.205, 52.894, 0.67
39.378, 49.611, 1.26
67.69, 53.931, 0.2
83.82, 66.916, 0.37
94.674, 58.982, 1.09
36.257, 59.593, 1.94
23.727, 63.194, 1.05
39.907, 59.304, 0.58
18.432, 80.305, 1.98
81.526, 63.335, 0.67
51.573, 74.134, 1.79
58.726, 48.046, 1.36
20.434, 68.381, 1.12
97.435, 79.323, 0.54
62.168, 53.534, 0.53
60.65, 72.038, 0.89
32.108, 78.889, 0.97
58.199, 52.429, 1.41
78.078, 65.251, 1.24
52.174, 64.589, 0.61
33.066, 53.766, 0.6
42.141, 56.199, 1.09
72.012, 67.525, 0.67
63.019, 69.527, 1.04
70.333, 56.926, 1.06
91.538, 69.001, 0.41
35.566, 71.357, 0.54
88.059, 65.729, 0.84
1.993, 76.543, 0.56
84.298, 61.007, 1.34
69.179, 65.363, 1.2
41.29, 53.476, 1.8
79.604, 74.517, 1.19
85.768, 72.252, 1.02
57.615, 52.403, 2.28
11.239, 72.44, 1.0
23.023, 70.41, 1.2
43.831, 66.559, 2.14
70.183, 67.693, 0.63
67.096, 52.775, 0.68
34.465, 72.676, 0.84
40.664, 57.799, 0.59
54.521, 76.794, 1.44
95.108, 65.69, 1.28
54.541, 55.829, 2.19
49.656, 58.104, 1.04
42.847, 69.456, 0.98
24.828, 63.198, 1.02
47.832, 76.284, 0.72
96.021, 62.897, 0.37
21.693, 59.623, 0.29
59.888, 65.808, 1.25
71.268, 47.504, 0.45
80.912, 77.887, 1.06
78.256, 74.451, 1.56
49.602, 64.748, 0.92
42.86, 64.062, 0.64
77.892, 65.388, 0.81
25.409, 67.539, 0.98
70.523, 73.962, 0.91
68.536, 64.866, 1.15
36.989, 56.93, 0.69
38.938, 63.368, 0.43
45.769, 57.104, 0.57
42.946, 61.568, 1.24
74.919, 68.709, 0.83
43.64, 56.603, 0.51
79.932, 58.81, 1.41
48.924, 71.316, 0.33
49.231, 56.439, 0.74
88.028, 52.598, 1.55
77.654, 61.684, 0.63
54.021, 48.304, 0.79
68.085, 68.649, 0.44
94.139, 63.936, 0.87
99.52, 69.876, 1.69
24.846, 56.355, 0.46
72.651, 72.584, 0.91
77.755, 67.623, 1.31
38.863, 67.399, 0.48
59.948, 63.962, 0.7
34.445, 56.747, 0.46
53.938, 50.957, 1.57
52.484, 61.339, 1.22
107.848, 73.597, 2.19
88.711, 70.772, 0.72
106.115, 67.085, 0.72
42.232, 52.759, 0.69
82.117, 76.73, 1.41
77.849, 52.82, 0.57
100.24, 74.955, 1.02
81.808, 56.714, 0.93
79.134, 69.389, 1.13
102.577, 61.754, 0.36
109.479, 67.276, 1.0
91.677, 57.4, 1.89
51.761, 60.598, 2.04
60.577, 49.808, 0.63
78.023, 50.037, 0.53
110.966, 81.718, 1.82
17.188, 62.368, 0.76
64.894, 76.777, 0.76
58.746, 50.666, 0.66
46.141, 71.353, 1.14
16.628, 60.906, 0.67
91.116, 74.017, 0.87
30.408, 61.257, 1.07
85.908, 56.081, 0.51
77.667, 60.534, 1.57
37.925, 50.836, 1.01
65.291, 58.168, 0.44
101.349, 60.301, 0.97
32.051, 62.599, 0.55
100.918, 75.606, 0.96
48.477, 61.144, 1.02
111.457, 68.083, 0.74
96.834, 61.673, 0.48
47.932, 65.215, 1.06
98.963, 60.212, 1.12
29.212, 56.971, 1.84
23.377, 57.8, 1.01
95.365, 69.202, 0.79
94.32, 65.576, 1.04
56.806, 57.752, 1.09
77.92, 55.208, 0.92
74.911, 76.244, 1.91
36.194, 61.632, 0.74
92.948, 68.644, 1.38
62.975, 63.301, 0.7
74.928, 54.205, 1.01
56.144, 83.006, 0.92
106.051, 65.142, 0.93
56.824, 70.221, 0.8
46.282, 58.31, 0.63
11.896, 63.538, 1.13
112.355, 73.472, 1.0
98.036, 61.638, 1.49
74.985, 59.878, 0.73
31.047, 64.007, 0.71
87.6, 57.469, 0.39
30.027, 59.227, 0.99
87.657, 63.373, 0.62
48.662, 64.249, 1.0
47.052, 60.255, 2.24
65.649, 61.801, 0.42
77.076, 59.659, 1.5
76.342, 56.678, 0.88
28.945, 67.019, 1.06
62.42, 52.721, 2.07
48.593, 61.079, 1.06
94.12, 65.273, 1.05
62.792, 80.07, 0.24
67.825, 65.789, 1.39
54.246, 48.836, 2.32
26.134, 61.888, 0.78
37.39, 82.355, 1.07
30.687, 55.767, 0.57
