nura, nudec, angerr
263.345, 19.803, 0.81
255.277, 40.364, 1.89
244.161, 39.255, 0.94
238.525, 15.164, 1.07
238.372, 18.537, 0.63
234.89, 17.259, 1.05
248.939, 10.301, 1.71
229.9, 21.125, 0.68
242.718, 18.556, 0.6
237.238, 12.535, 0.36
256.825, 30.832, 0.93
261.556, 9.627, 1.12
230.594, 29.572, 0.76
238.644, 14.35, 0.71
239.06, 6.748, 0.73
259.115, 12.529, 0.41
268.77, 23.797, 0.84
250.134, 17.784, 0.65
251.646, 11.244, 2.18
245.577, 20.731, 2.04
237.03, 17.658, 0.71
266.219, 35.653, 0.9
239.738, 26.724, 0.84
257.871, 12.037, 0.64
260.372, 40.115, 0.38
236.868, 13.276, 0.46
258.718, 19.37, 1.96
247.869, 12.725, 1.62
264.727, 32.329, 0.95
242.647, 23.531, 0.35
254.342, 6.13, 0.74
242.422, 10.91, 0.42
261.459, 30.722, 0.3
234.888, 36.819, 0.6
259.996, 31.613, 0.53
232.318, 26.792, 1.26
256.785, 26.635, 1.36
235.643, 28.766, 0.91
258.471, 8.894, 0.59
261.272, 10.493, 1.18
239.653, 10.899, 0.4
244.397, 18.171, 1.08
261.365, 25.52, 0.72
247.188, 4.809, 0.86
230.927, 26.532, 0.93
227.816, 30.908, 0.94
264.828, 37.22, 0.64
251.703, 14.863, 1.13
261.485, 16.485, 0.76
256.145, 14.539, 0.49
265.472, 15.458, 1.07
229.043, 29.157, 0.56
232.251, 13.712, 0.63
254.063, 14.596, 0.44
245.109, 26.431, 0.45
260.484, 17.051, 0.91
259.635, 17.832, 0.64
233.765, 25.218, 0.96
231.464, 16.547, 1.1
244.001, 42.327, 1.04
247.251, 3.645, 0.7
258.904, 15.818, 1.1
262.983, 23.798, 0.49
248.782, 17.553, 1.01
241.873, 24.389, 1.33
248.169, 23.361, 1.28
259.154, 9.859, 0.61
242.074, 38.984, 0.91
231.189, 35.297, 1.79
235.6, 8.281, 1.38
259.348, 7.634, 1.57
248.318, 13.769, 0.67
