nura, nudec, angerr
343.547, 17.572, 1.79
314.87, 14.609, 0.51
316.088, 17.256, 1.61
329.392, 22.325, 0.81
329.899, -3.251, 0.78
342.047, 0.938, 0.82
324.787, 23.164, 2.14
336.374, 2.85, 1.9
346.333, 9.896, 0.7
335.16, 5.052, 0.96
325.221, 10.015, 0.8
334.025, 7.114, 0.46
334.825, 17.624, 0.95
342.746, 14.586, 1.63
352.227, 10.795, 1.15
334.253, -2.645, 0.96
352.007, 12.829, 2.04
349.543, 8.223, 0.76
323.0, 7.04, 0.72
351.533, 10.911, 1.81
335.373, 23.737, 1.03
343.852, 8.557, 1.28
344.432, 5.617, 0.44
346.354, 30.208, 0.93
342.835, 32.757, 1.04
343.144, 8.788, 1.38
343.884, 11.914, 0.45
321.665, 26.104, 1.0
322.779, 29.503, 1.86
327.015, 15.941, 1.06
330.381, 20.299, 0.71
321.12, 20.407, 0.44
331.785, 5.981, 0.54
318.403, 8.304, 0.67
334.935, 0.313, 1.09
341.6, 5.152, 0.91
317.959, 25.441, 0.63
333.851, 5.32, 0.68
317.129, 13.407, 0.35
352.955, 14.321, 2.23
319.197, 18.602, 1.57
351.323, 24.414, 1.04
333.297, 16.03, 0.98
335.496, 8.51, 0.37
349.35, 16.729, 1.03
322.703, -0.506, 0.93
330.682, 9.471, 1.69
337.904, 0.518, 0.48
326.325, 26.391, 1.09
342.536, 19.118, 0.97
319.733, 9.096, 0.47
320.554, 14.531, 1.16
348.252, 5.462, 1.98
333.848, 20.454, 1.03
334.957, 18.274, 0.51
336.629, 13.722, 0.38
333.787, 4.694, 0.62
317.032, 20.066, 0.58
346.376, 26.858, 2.05
336.263, 32.792, 2.33
330.727, 8.764, 0.4
316.097, 21.971, 0.53
320.175, 29.813, 0.47
314.158, 13.134, 1.04
316.573, 11.049, 2.13
313.811, 18.741, 0.77
340.879, 0.154, 1.31
326.18, 24.753, 0.37
335.224, 25.184, 0.94
324.102, 14.957, 0.57
316.149, 24.665, 0.39
