nura, nudec, angerr
244.161, 39.255, 0.94
215.673, 40.477, 1.02
221.659, 45.557, 0.44
201.679, 51.369, 0.68
208.243, 55.958, 1.17
198.579, 53.85, 0.65
200.03, 46.391, 1.05
230.594, 29.572, 0.76
242.464, 45.537, 0.98
211.137, 49.656, 0.82
251.01, 58.058, 0.99
227.53, 57.278, 1.34
211.967, 65.106, 0.5
201.296, 58.464, 0.87
217.611, 36.618, 0.91
258.601, 48.488, 0.41
212.01, 34.991, 0.86
219.792, 32.522, 1.8
202.205, 55.595, 0.7
202.769, 42.035, 0.88
250.161, 56.855, 0.99
244.072, 49.087, 1.49
234.888, 36.819, 0.6
223.029, 34.026, 0.57
220.08, 64.713, 0.36
224.648, 39.353, 0.65
226.655, 30.93, 0.53
213.212, 44.841, 1.04
227.816, 30.908, 0.94
234.632, 43.459, 0.5
216.07, 55.561, 1.91
235.16, 47.669, 1.08
234.712, 63.819, 0.91
210.481, 64.857, 0.97
230.985, 52.531, 0.82
229.043, 29.157, 0.56
209.398, 60.902, 1.32
229.333, 56.952, 0.51
224.92, 32.85, 0.8
221.39, 36.32, 0.5
248.016, 54.488, 0.37
215.726, 41.062, 0.47
244.001, 42.327, 1.04
249.607, 64.229, 0.44
227.281, 57.585, 0.98
214.488, 35.192, 0.41
220.544, 32.33, 0.74
244.898, 55.248, 1.52
249.093, 61.636, 0.43
252.155, 52.009, 1.05
225.488, 57.705, 0.35
242.074, 38.984, 0.91
225.918, 31.651, 0.98
204.547, 45.424, 1.11
218.143, 53.771, 0.74
231.189, 35.297, 1.79
216.941, 65.866, 0.6
242.656, 43.928, 0.32
252.327, 57.885, 0.78
252.094, 62.202, 1.1
218.323, 60.182, 0.79
223.525, 35.69, 0.75
254.04, 39.748, 0.66
234.827, 55.575, 0.71
208.634, 60.172, 1.31
202.024, 48.641, 0.61
247.069, 59.861, 0.48
200.051, 51.462, 0.66
226.429, 48.113, 1.35
240.294, 49.361, 0.72
229.251, 51.589, 0.89
213.531, 64.279, 0.77
229.35, 39.879, 1.42
216.266, 45.92, 0.85
226.065, 48.822, 0.63
218.035, 33.883, 1.65
208.472, 46.754, 0.39
204.43, 50.393, 0.85
225.236, 47.701, 0.46
260.019, 51.092, 0.44
234.803, 32.048, 1.28
218.011, 31.986, 1.28
243.833, 34.934, 0.56
234.66, 63.59, 0.5
233.882, 60.619, 0.82
226.242, 34.029, 1.15
235.766, 45.004, 1.38
215.575, 65.378, 2.13
217.022, 48.004, 0.57
222.149, 47.905, 1.62
200.022, 51.241, 0.21
199.233, 49.37, 0.56
215.287, 53.733, 0.71
231.073, 47.502, 0.64
216.964, 53.147, 1.02
201.11, 56.863, 0.84
211.665, 65.439, 0.86
236.985, 60.661, 1.13
228.963, 34.524, 0.75
201.168, 44.275, 0.84
202.911, 61.31, 0.27
253.754, 47.621, 0.83
243.262, 37.368, 0.61
225.211, 49.495, 0.89
215.926, 37.427, 1.03
222.645, 62.711, 0.39
242.273, 46.595, 0.66
213.886, 35.851, 0.45
217.162, 50.439, 1.36
225.465, 65.398, 1.54
243.406, 59.921, 1.55
231.732, 58.219, 0.9
219.043, 39.141, 0.98
231.883, 58.119, 0.65
245.198, 49.575, 0.86
256.327, 56.954, 0.7
203.263, 60.397, 0.57
244.189, 34.092, 0.52
221.388, 41.347, 0.44
204.177, 52.881, 1.64
230.064, 41.993, 0.32
229.244, 40.016, 0.78
243.46, 33.414, 0.72
219.536, 52.451, 1.56
217.411, 43.51, 0.67
256.742, 46.712, 1.14
242.706, 37.472, 0.86
218.102, 67.054, 0.72
249.152, 53.437, 0.74
249.537, 39.406, 1.01
220.698, 39.565, 0.37
227.861, 52.7, 0.6
256.49, 52.414, 0.32
234.215, 48.33, 0.65
228.973, 53.355, 0.62
256.692, 43.088, 1.16
243.317, 36.002, 0.46
221.858, 55.635, 1.03
204.414, 47.577, 0.39
241.495, 47.01, 0.63
230.719, 54.236, 1.41
225.416, 29.725, 0.94
207.519, 50.825, 0.94
241.485, 61.114, 0.47
254.067, 63.365, 0.55
231.962, 67.292, 0.64
248.936, 35.699, 0.77
246.027, 44.996, 0.82
202.767, 50.427, 0.89
215.282, 67.29, 0.58
223.761, 35.852, 0.81
250.485, 41.229, 0.73
238.821, 35.83, 1.62
238.242, 33.203, 0.66
247.003, 33.912, 0.49
226.496, 29.822, 0.54
233.124, 41.486, 0.52
236.766, 48.422, 0.55
223.275, 32.555, 0.78
231.982, 51.583, 0.54
240.037, 52.642, 0.92
211.243, 59.661, 0.35
206.506, 51.126, 1.07
253.067, 42.183, 1.28
213.042, 43.43, 1.88
231.904, 47.448, 0.8
243.724, 36.713, 0.93
255.123, 52.491, 0.71
229.056, 42.249, 0.64
239.712, 31.884, 0.49
226.538, 44.175, 0.5
217.727, 45.617, 0.71
225.805, 61.1, 0.4
243.844, 42.7, 0.48
250.612, 64.946, 0.49
217.378, 55.72, 0.36
246.868, 65.785, 1.29
208.614, 50.04, 0.97
216.701, 39.666, 0.73
231.764, 40.259, 1.08
246.588, 49.874, 0.41
222.08, 35.837, 1.06
216.294, 53.241, 0.7
222.797, 57.709, 1.58
241.598, 46.928, 0.7
248.462, 49.551, 1.39
222.215, 32.226, 0.51
217.373, 59.932, 2.43
234.493, 36.081, 0.67
235.362, 60.031, 0.39
226.609, 37.472, 1.54
220.13, 52.283, 0.69
249.485, 36.42, 1.17
224.971, 34.367, 0.33
214.13, 65.187, 1.2
238.921, 60.359, 1.06
232.723, 29.793, 0.55
215.915, 56.402, 1.82
226.321, 66.276, 0.52
237.793, 54.743, 0.94
242.504, 54.359, 0.56
226.892, 59.806, 0.48
204.397, 59.981, 0.53
239.425, 66.675, 0.69
217.417, 65.964, 1.2
248.01, 60.15, 0.42
210.305, 62.265, 0.39
225.002, 43.729, 0.42
229.436, 38.307, 0.95
258.092, 53.871, 0.89
235.295, 37.482, 1.22
203.024, 50.602, 0.51
224.487, 34.455, 0.44
226.061, 37.231, 2.35
241.241, 39.533, 0.77
228.499, 52.686, 0.72
228.847, 51.689, 0.71
247.915, 63.744, 1.57
220.713, 38.377, 0.89
259.409, 53.021, 1.45
210.075, 57.429, 0.51
245.005, 57.431, 1.08
240.566, 60.763, 0.57
220.575, 31.279, 0.5
208.612, 39.675, 0.35
247.124, 64.701, 0.46
235.096, 42.043, 1.64
258.484, 55.588, 0.77
234.262, 60.318, 0.48
232.035, 52.841, 0.51
246.331, 47.309, 0.87
229.358, 51.993, 0.86
260.204, 50.62, 0.82
238.081, 50.884, 0.27
241.992, 41.849, 1.27
254.457, 59.85, 1.17
222.041, 59.26, 1.17
256.392, 41.93, 0.69
251.549, 59.567, 0.44
234.6, 54.094, 0.64
247.361, 34.795, 1.01
238.96, 37.751, 1.67
242.906, 57.777, 1.38
217.253, 43.362, 0.74
224.553, 45.799, 0.78
235.703, 45.092, 0.8
248.016, 56.47, 1.69
200.203, 59.366, 1.03
238.509, 31.508, 0.47
223.971, 63.807, 0.88
248.819, 61.657, 1.67
244.523, 39.648, 1.88
218.441, 41.261, 0.39
253.208, 64.203, 0.99
238.314, 35.779, 1.93
236.904, 39.898, 0.47
223.85, 34.933, 0.67
225.861, 54.324, 0.2
222.113, 43.198, 1.31
215.46, 37.597, 0.72
198.631, 54.935, 0.57
231.092, 36.379, 0.83
234.918, 54.311, 0.55
225.281, 29.865, 0.8
204.623, 46.196, 0.54
235.637, 39.289, 0.81
246.352, 55.689, 1.29
227.128, 43.564, 0.67
226.745, 62.793, 0.36
218.563, 37.353, 2.09
235.221, 56.441, 0.81
240.189, 34.463, 0.61
250.92, 46.256, 0.8
230.938, 49.209, 0.87
217.459, 35.137, 1.17
250.049, 58.329, 0.38
252.128, 43.847, 0.47
228.503, 50.482, 0.54
246.812, 50.932, 0.46
233.128, 58.729, 1.03
209.585, 37.048, 0.67
204.889, 50.027, 0.98
212.221, 44.14, 0.86
236.014, 35.827, 0.31
251.447, 57.016, 0.77
208.074, 40.828, 2.05
249.146, 37.983, 1.45
250.248, 63.144, 0.35
215.452, 44.686, 0.61
220.401, 50.544, 0.98
248.748, 45.217, 0.84
224.402, 61.182, 0.84
211.086, 48.199, 0.51
226.722, 32.523, 0.95
248.263, 37.182, 0.72
199.942, 48.652, 0.33
242.898, 62.041, 0.53
226.094, 45.971, 1.3
248.216, 55.886, 0.85
215.741, 40.247, 1.77
213.669, 38.709, 0.46
242.971, 64.499, 1.59
235.105, 34.178, 0.74
258.559, 56.567, 1.24
240.067, 43.529, 0.44
219.016, 37.554, 2.36
221.754, 50.718, 0.83
206.934, 53.236, 0.63
209.698, 60.389, 0.37
211.844, 51.305, 0.74
221.696, 58.612, 1.28
217.928, 52.762, 1.23
227.654, 54.894, 0.55
234.157, 41.067, 1.87
218.35, 61.757, 0.65
199.147, 50.73, 1.78
245.928, 44.144, 2.12
233.105, 52.068, 0.89
