nura, nudec, angerr
196.081, -31.453, 0.49
196.574, -18.234, 0.33
215.78, -46.274, 0.59
206.213, -33.72, 0.74
207.313, -50.292, 0.65
209.15, -42.688, 0.84
220.422, -39.143, 0.45
191.468, -17.517, 0.56
188.542, -52.006, 0.95
196.125, -17.205, 0.52
197.982, -15.492, 0.71
199.685, -42.384, 1.19
185.776, -21.846, 0.47
217.768, -49.87, 0.88
212.923, -41.74, 0.3
204.644, -44.817, 0.67
195.476, -35.241, 0.3
185.945, -21.015, 1.13
209.38, -25.999, 0.74
206.371, -29.948, 0.45
202.517, -16.243, 1.12
199.52, -25.019, 0.3
182.6, -30.978, 0.68
211.983, -39.832, 0.27
217.857, -39.983, 0.39
202.45, -15.383, 1.02
212.02, -37.972, 0.43
213.262, -50.914, 0.28
208.562, -19.541, 0.87
219.818, -34.789, 0.91
195.931, -44.365, 1.13
200.012, -27.319, 1.17
188.117, -42.859, 0.58
209.755, -33.183, 0.2
222.887, -31.122, 1.18
195.629, -50.854, 0.5
181.767, -24.831, 1.06
216.535, -21.554, 1.07
209.36, -24.871, 0.83
209.821, -39.209, 1.02
216.829, -42.217, 0.77
217.9, -40.188, 0.36
202.5, -21.288, 0.42
187.182, -34.202, 0.36
218.082, -31.389, 0.31
205.986, -53.202, 0.41
206.391, -25.593, 0.31
203.777, -20.081, 1.23
203.052, -48.623, 0.53
211.206, -42.79, 0.37
201.986, -28.843, 0.83
206.099, -31.467, 0.36
198.622, -26.268, 1.08
196.793, -16.879, 0.86
203.317, -51.588, 0.38
219.227, -47.434, 0.61
193.217, -23.698, 0.69
194.486, -20.006, 0.35
218.2, -31.492, 0.88
208.797, -38.647, 0.48
194.298, -16.181, 1.05
211.56, -18.91, 1.15
189.529, -51.607, 0.42
197.174, -43.774, 1.06
178.936, -33.45, 1.05
208.701, -20.995, 1.27
221.347, -38.128, 0.76
187.907, -18.901, 0.93
196.486, -16.937, 0.81
216.303, -24.491, 0.85
198.723, -47.24, 0.8
182.67, -33.247, 0.93
207.811, -39.024, 1.1
178.416, -35.554, 0.63
200.337, -52.187, 0.57
208.169, -41.864, 0.59
204.039, -33.423, 0.86
202.747, -28.535, 1.11
196.099, -18.172, 0.41
208.161, -37.059, 1.26
181.057, -26.255, 0.43
201.16, -37.971, 0.75
199.719, -43.085, 0.64
205.573, -39.682, 0.74
194.624, -33.028, 0.73
204.923, -40.997, 0.34
198.649, -20.058, 0.55
210.499, -37.993, 0.52
175.921, -35.147, 0.6
183.164, -29.161, 1.08
192.396, -17.426, 0.89
176.413, -36.25, 0.96
221.541, -46.192, 0.38
197.773, -46.091, 0.67
206.086, -28.882, 0.95
196.308, -51.243, 0.47
210.092, -27.645, 0.7
201.974, -36.387, 0.56
202.808, -20.361, 0.47
178.588, -35.239, 0.59
196.525, -41.977, 0.45
190.003, -33.581, 0.9
209.217, -44.899, 0.39
208.982, -21.333, 0.83
216.48, -29.298, 0.37
222.012, -29.492, 0.67
216.269, -40.686, 0.69
208.043, -21.924, 0.85
207.772, -52.98, 0.47
184.152, -25.596, 0.52
177.754, -35.608, 0.33
197.472, -29.929, 0.47
206.792, -18.136, 0.51
210.152, -30.523, 0.65
220.26, -28.393, 0.23
214.847, -51.242, 0.31
202.826, -20.659, 0.89
213.215, -41.096, 0.55
193.499, -32.528, 0.64
178.656, -32.888, 0.92
209.652, -17.431, 0.35
208.004, -30.453, 0.82
206.878, -30.019, 0.75
210.627, -26.905, 1.0
203.156, -44.081, 1.23
193.676, -19.266, 0.35
199.561, -19.068, 0.3
176.249, -33.119, 0.47
187.455, -50.296, 0.51
202.665, -24.106, 1.23
182.743, -33.143, 0.49
197.402, -27.615, 1.26
212.056, -49.448, 1.04
193.457, -27.955, 1.22
199.944, -25.033, 1.27
216.8, -22.046, 0.61
212.389, -26.725, 0.64
210.537, -28.929, 0.95
199.677, -49.915, 0.92
198.248, -39.099, 0.93
219.035, -32.615, 0.39
200.996, -23.103, 0.43
213.738, -24.392, 0.47
198.583, -36.399, 0.59
179.978, -32.724, 0.26
221.082, -31.514, 0.62
220.289, -40.788, 0.54
193.551, -26.504, 0.43
218.915, -26.576, 1.07
206.777, -33.586, 0.48
203.83, -49.805, 0.26
213.43, -22.285, 0.62
204.554, -43.334, 0.55
206.694, -30.422, 0.72
209.443, -21.593, 1.18
215.218, -25.949, 1.06
214.513, -33.009, 1.22
200.401, -48.094, 0.31
189.301, -41.205, 0.36
211.66, -19.123, 0.46
195.841, -35.903, 1.22
201.461, -24.082, 0.66
199.689, -54.637, 0.84
189.137, -35.08, 1.12
185.875, -21.607, 0.41
181.264, -44.573, 0.59
206.603, -45.229, 0.84
186.802, -44.776, 0.4
198.301, -19.653, 0.59
180.543, -36.278, 0.42
179.888, -30.667, 0.9
184.818, -22.101, 1.01
209.702, -34.512, 0.74
205.082, -18.532, 0.39
221.426, -31.119, 0.91
190.382, -42.48, 0.77
201.6, -25.679, 0.37
184.696, -48.688, 1.03
218.368, -32.943, 0.31
206.237, -43.646, 0.61
184.044, -25.855, 1.04
186.574, -43.925, 0.33
186.81, -31.802, 0.38
188.685, -33.946, 1.13
212.646, -26.901, 1.0
178.992, -36.521, 0.84
192.318, -41.235, 0.45
223.563, -37.102, 0.54
193.208, -38.964, 0.5
197.24, -42.947, 0.78
221.678, -36.736, 0.57
215.116, -32.286, 0.62
204.725, -26.264, 0.47
207.119, -32.023, 0.68
201.56, -26.35, 0.37
179.443, -26.805, 0.53
204.64, -17.144, 0.28
196.138, -16.101, 0.48
202.604, -34.658, 1.23
196.478, -17.591, 0.58
