nura, nudec, angerr
343.547, 17.572, 1.79
329.392, 22.325, 0.81
6.196, 22.142, 0.69
8.386, 34.091, 1.0
334.825, 17.624, 0.95
342.746, 14.586, 1.63
9.184, 35.28, 0.65
352.007, 12.829, 2.04
335.373, 23.737, 1.03
352.024, 41.005, 1.3
346.354, 30.208, 0.93
342.835, 32.757, 1.04
343.884, 11.914, 0.45
330.381, 20.299, 0.71
324.481, 35.023, 0.53
346.978, 45.694, 0.7
355.072, 14.771, 0.91
335.702, 35.739, 0.46
342.211, 37.87, 1.24
7.94, 24.832, 1.02
352.955, 14.321, 2.23
351.323, 24.414, 1.04
333.297, 16.03, 0.98
349.35, 16.729, 1.03
332.851, 42.012, 0.67
347.975, 43.53, 2.1
347.93, 45.864, 0.47
326.325, 26.391, 1.09
342.536, 19.118, 0.97
333.848, 20.454, 1.03
359.581, 33.052, 0.9
334.957, 18.274, 0.51
330.588, 42.761, 0.63
336.629, 13.722, 0.38
346.376, 26.858, 2.05
325.362, 38.147, 0.25
343.304, 41.651, 1.24
336.263, 32.792, 2.33
350.163, 47.085, 0.57
326.18, 24.753, 0.37
358.316, 16.468, 1.02
335.224, 25.184, 0.94
324.107, 34.448, 0.52
330.637, 26.006, 0.92
0.949, 27.259, 0.72
331.308, 20.117, 0.36
350.191, 23.355, 1.35
350.643, 49.659, 0.49
344.52, 22.51, 1.22
4.917, 44.137, 0.68
1.846, 30.84, 0.89
2.192, 21.92, 0.67
332.872, 18.151, 0.51
352.553, 31.669, 1.18
350.564, 41.31, 0.51
7.188, 33.21, 1.13
0.726, 39.542, 0.62
2.044, 24.254, 0.46
330.314, 23.448, 1.19
341.831, 17.656, 0.54
354.595, 20.006, 0.45
336.544, 32.449, 0.58
327.04, 22.338, 0.43
2.292, 25.415, 0.68
333.043, 23.397, 1.13
342.687, 18.297, 1.47
2.364, 36.236, 1.0
342.85, 13.876, 0.61
3.3, 27.293, 1.67
357.258, 15.095, 0.33
350.742, 45.115, 0.57
339.298, 15.758, 0.95
328.439, 30.501, 0.79
349.272, 39.648, 0.66
336.301, 24.609, 1.64
356.92, 29.187, 0.65
341.267, 44.724, 0.7
346.922, 46.553, 0.63
345.05, 45.946, 0.71
1.762, 38.248, 0.88
345.518, 16.518, 0.64
348.092, 25.257, 0.64
345.885, 15.806, 0.42
